order_id,line_no,product_id,seller_id,quantity,unit_price,line_total
ORD-0000045,4,PROD-000578,SELLER-0119,1,88.00,88.00
ORD-0000046,1,PROD-000623,SELLER-0041,3,298.00,894.00
ORD-0000047,1,PROD-000129,SELLER-0200,1,14.00,14.00
ORD-0000048,1,PROD-000398,SELLER_0027,3,38.00,114.00
ORD-0000048,2,PROD-000932,SELLER-0035,1,160.00,160.00
ORD-0000049,1,PROD-000594,SELLER-0069,3,306.00,918.00
ORD-0000050,1,PROD-000784,SELLER-0138,2,89.00,178.00
ORD-0000051,1,PROD-000090,SELLER-0163,1,746.00,746.00
ORD-0000051,2,PROD-000968,SELLER-0058,3,384.00,1152.00
ORD-0000052,1,PROD-000269,SELLER-0090,2,12.00,24.00
ORD-0000052,2,PROD-000900,SELLER-0149,1,72.00,72.00
ORD-0000052,3,PROD-000215,SELLER-0163,1,1038.00,1038.00
ORD-0000052,4,PROD-000321,SELLER-0159,2,357.00,714.00
ORD-0000053,1,PROD-000089,SELLER-0071,2,149.00,298.00
ORD-0000054,1,PROD-000803,SELLER-0155,2,50.00,100.00
ORD-0000055,1,PROD-000914,SELLER-0147,2,182.00,364.00
ORD-0000055,2,PROD-000693,SELLER-0105,3,74.00,222.00
ORD-0000055,3,PROD-000855,SELLER-0103,2,26.00,52.00
ORD-0000056,1,PROD-000649,SELLER-0107,3,116.00,348.00
ORD-0000056,2,PROD-000907,SELLER-0121,2,36.00,72.00
ORD-0000056,3,PROD-000557,SELLER-0137,1,120.00,120.00
ORD-0000056,4,PROD-000582,SELLER-9999,3,166.00,498.00
ORD-0000056,5,PROD-000951,SELLER-0007,1,28.00,28.00
ORD-0000057,1,PROD-000398,SELLER_0027,3,38.00,114.00
ORD-0000057,2,PROD-000979,SELLER-0093,1,148.00,148.00
ORD-0000057,3,PROD-000218,SELLER-0164,1,58.00,58.00
ORD-0000057,4,PROD-000757,SELLER-0098,3,352.00,1056.00
ORD-0000058,1,PROD-000899,SELLER-0003,3,21.00,63.00
ORD-0000058,2,PROD-000866,SELLER-0036,1,180.00,180.00
ORD-0000058,3,PROD-000655,SELLER-0008,3,47.00,141.00
ORD-0000058,4,PROD-000318,SELLER-0130,3,136.00,408.00
ORD-0000059,1,PROD-000008,SELLER-0074,1,52.00,52.00
ORD-0000059,2,PROD-000108,SELLER-0020,1,40.00,40.00
ORD-0000059,3,PROD-000743,SELLER-9999,2,331.00,662.00
ORD-0000060,1,PROD-000838,SELLER-0082,2,61.00,122.00
ORD-0000060,2,PROD-000807,SELLER-0054,1,88.00,88.00
ORD-0000060,3,PROD-000369,SELLER-0162,2,102.00,204.00
ORD-0000060,4,PROD-000881,SELLER-0041,2,51.00,102.00
ORD-0000061,1,PROD-000888,SELLER-0172,1,788.00,788.00
ORD-0000061,2,PROD-000177,SELLER-0085,1,652.00,652.00
ORD-0000061,3,PROD-000793,SELLER-0124,3,59.00,177.00
ORD-0000062,1,PROD-000318,SELLER-0130,3,136.00,408.00
ORD-0000062,2,PROD-000190,SELLER-0197,2,798.00,1596.00
ORD-0000062,3,PROD-000145,SELLER-0108,2,799.00,1598.00
ORD-0000062,4,PROD-000804,SELLER-0152,3,93.00,279.00
ORD-0000063,1,PROD-000377,SELLER-0048,3,143.00,429.00
ORD-0000063,2,PROD-000258,SELLER-0051,1,38.00,38.00
ORD-0000063,3,PROD-000236,SELLER_0063,1,225.00,225.00
ORD-0000063,4,PROD-000035,SELLER-0161,1,431.00,431.00
ORD-0000064,1,PROD-000600,SELLER-0021,3,38.00,114.00
ORD-0000064,2,PROD-000700,SELLER-0142,2,502.00,1004.00
ORD-0000065,1,PROD-000150,SELLER-0115,1,233.00,233.00
ORD-0000066,1,PROD-000137,SELLER-0142,3,33.00,99.00
ORD-0000066,2,PROD-000207,SELLER-0094,3,132.00,396.00
ORD-0000066,3,PROD-000698,SELLER-0119,2,200.00,400.00
ORD-0000067,1,PROD-000345,SELLER-0018,3,407.00,1221.00
ORD-0000067,2,PROD-000725,SELLER-0114,2,867.00,1734.00
ORD-0000067,3,PROD-000323,SELLER-0092,2,126.00,252.00
ORD-0000067,4,PROD-000496,SELLER_0027,3,46.00,138.00
ORD-0000068,1,PROD-000547,SELLER-0044,1,72.00,72.00
ORD-0000068,2,PROD-000223,SELLER-0019,1,75.00,75.00
ORD-0000069,1,PROD-000770,SELLER-0075,2,794.00,1588.00
ORD-0000069,2,PROD-000113,SELLER-0154,2,55.00,110.00
ORD-0000069,3,PROD-000622,SELLER-0140,2,68.00,136.00
ORD-0000069,4,PROD-000402,SELLER-0123,3,23.00,69.00
ORD-0000070,1,PROD-000098,SELLER-0023,1,12.00,12.00
ORD-0000070,2,PROD-000389,SELLER-0181,3,125.00,375.00
ORD-0000070,3,PROD-000682,SELLER-0081,3,146.00,438.00
ORD-0000070,4,PROD-000312,SELLER-0115,2,695.00,1390.00
ORD-0000071,1,PROD-000222,SELLER-0054,3,66.00,198.00
ORD-0000071,2,PROD-000324,SELLER-0144,3,178.00,534.00
ORD-0000072,1,PROD-000591,SELLER-0079,3,576.00,1728.00
ORD-0000072,2,PROD-000408,SELLER-0107,1,100.00,100.00
ORD-0000072,3,PROD-000044,SELLER-0091,1,49.00,49.00
ORD-0000073,1,PROD-000701,SELLER-0084,3,121.00,363.00
ORD-0000073,2,PROD-000919,SELLER-0093,3,377.00,1131.00
ORD-0000073,3,PROD-000067,SELLER-0064,3,51.00,153.00
ORD-0000074,1,PROD-000480,SELLER-0046,3,283.00,849.00
ORD-0000074,2,PROD-000944,SELLER-0191,2,198.00,396.00
ORD-0000074,3,PROD-000357,SELLER-0018,2,73.00,146.00
ORD-0000075,1,PROD-000660,SELLER-0193,1,32.00,32.00
ORD-0000075,2,PROD-000740,SELLER-0130,3,758.00,2274.00
ORD-0000075,3,PROD-000415,SELLER-0158,1,16.00,16.00
ORD-0000076,1,PROD-000498,SELLER-0185,1,677.00,677.00
ORD-0000076,2,PROD-000459,SELLER-0120,1,40.00,40.00
ORD-0000076,3,PROD-000871,SELLER-0054,2,160.00,320.00
ORD-0000077,1,PROD-000074,SELLER-0191,2,28.00,56.00
ORD-0000077,2,PROD-000695,SELLER-0032,3,69.00,207.00
ORD-0000077,3,PROD-000166,SELLER-0026,3,28.00,84.00
ORD-0000078,1,PROD-000303,SELLER-0055,1,1046.00,1046.00
ORD-0000078,2,PROD-000923,SELLER-0147,3,553.00,1659.00
ORD-0000078,3,PROD-000663,SELLER-0077,3,62.00,186.00
ORD-0000078,4,PROD-000407,SELLER-0166,3,7.00,21.00
ORD-0000079,1,PROD-000442,SELLER-0028,2,557.00,1114.00
ORD-0000080,1,PROD-000992,SELLER-0155,2,399.00,798.00
ORD-0000080,2,PROD-000775,SELLER-0190,2,132.00,264.00
ORD-0000080,3,PROD-000257,SELLER-0129,2,40.00,80.00
ORD-0000081,1,PROD-000152,SELLER-0033,1,36.00,36.00
ORD-0000082,1,PROD-000181,SELLER-0057,2,451.00,902.00
ORD-0000083,1,PROD-000429,SELLER-0080,3,217.00,651.00
ORD-0000083,2,PROD-000572,SELLER-0082,1,883.00,883.00
ORD-0000083,3,PROD-000051,SELLER-0100,3,17.00,51.00
ORD-0000083,4,PROD-000230,SELLER-9999,1,1056.00,1056.00
ORD-0000084,1,PROD-000928,SELLER-0146,1,6.00,6.00
ORD-0000085,1,PROD-000594,SELLER-0069,1,306.00,306.00
ORD-0000085,2,PROD-000558,SELLER-0139,1,86.00,86.00
ORD-0000085,3,PROD-000436,SELLER_0187,3,21.00,63.00
ORD-0000085,4,PROD-000844,SELLER-0056,2,58.00,116.00
ORD-0000086,1,PROD-000005,SELLER-0069,1,549.00,549.00
ORD-0000086,2,PROD-000917,SELLER-0034,1,1088.00,1088.00
ORD-0000087,1,PROD-000455,SELLER-0045,1,133.00,133.00
ORD-0000087,2,PROD-000929,SELLER-0030,2,46.00,92.00
ORD-0000088,1,PROD-000961,SELLER-0097,1,91.00,91.00
ORD-0000088,2,PROD-000984,SELLER-0157,3,183.00,549.00
ORD-0000088,3,PROD-000400,SELLER-0090,1,366.00,366.00
ORD-0000089,1,PROD-000665,SELLER-0095,3,360.00,1080.00
ORD-0000089,2,PROD-000374,SELLER-0146,1,67.00,67.00
ORD-0000089,3,PROD-000901,SELLER-0130,2,225.00,450.00
ORD-0000090,1,PROD-000250,SELLER-0081,3,16.00,48.00
ORD-0000090,2,PROD-000289,SELLER-0130,3,-673.00,-2019.00
ORD-0000091,1,PROD-000672,SELLER_0027,3,134.00,402.00
ORD-0000091,2,PROD-000326,SELLER-0108,2,36.00,72.00
ORD-0000091,3,PROD-000956,SELLER-0076,1,41.00,41.00
ORD-0000091,4,PROD-000238,SELLER-0058,1,85.00,85.00
ORD-0000092,1,PROD-000373,SELLER-0146,2,16.00,32.00
ORD-0000093,1,PROD-000241,SELLER-0123,3,25.00,75.00
ORD-0000093,2,PROD-000819,SELLER-0060,2,163.00,326.00
ORD-0000093,3,PROD-000920,SELLER-0016,3,953.00,2859.00
ORD-0000094,1,PROD-000875,SELLER-0085,2,50.00,100.00
ORD-0000094,2,PROD-000636,SELLER-0083,1,65.00,65.00
ORD-0000094,3,PROD-000246,SELLER-0059,3,42.00,126.00
ORD-0000094,4,PROD-000438,SELLER-0167,2,103.00,206.00
ORD-0000095,1,PROD-000769,SELLER-0152,2,564.00,1128.00
ORD-0000096,1,PROD-000456,SELLER-0009,1,55.00,55.00
ORD-0000097,1,PROD-000404,SELLER-0199,1,363.00,363.00
ORD-0000098,1,PROD-000205,SELLER-0082,3,595.00,1785.00
ORD-0000098,2,PROD-000314,SELLER-0018,2,176.00,352.00
ORD-0000098,3,PROD-000739,SELLER-0062,3,29.00,87.00
ORD-0000098,4,PROD-000462,SELLER-0081,3,137.00,411.00
ORD-0000099,1,PROD-000945,SELLER-0090,1,170.00,170.00
ORD-0000100,1,PROD-000582,SELLER-9999,1,166.00,166.00
ORD-0000100,2,PROD-000197,SELLER-0129,3,115.00,345.00
ORD-0000100,3,PROD-000208,SELLER_0101,2,186.00,372.00
ORD-0000101,1,PROD-000278,SELLER-0029,2,45.00,90.00
ORD-0000101,2,PROD-000848,SELLER-0062,1,352.00,352.00
ORD-0000101,3,PROD-000838,SELLER-0082,3,61.00,183.00
ORD-0000102,1,PROD-000519,SELLER-0074,1,71.00,71.00
ORD-0000102,2,PROD-000660,SELLER-0193,2,32.00,64.00
ORD-0000102,3,PROD-000433,SELLER-0119,3,34.00,102.00
ORD-0000102,4,PROD-000750,SELLER-0017,2,94.00,188.00
ORD-0000103,1,PROD-000469,SELLER-0115,3,174.00,522.00
ORD-0000103,2,PROD-000800,SELLER-0103,3,11.00,33.00
ORD-0000104,1,PROD-000760,SELLER_0132,2,58.00,116.00
ORD-0000104,2,PROD-000257,SELLER-0129,2,40.00,80.00
ORD-0000104,3,PROD-000269,SELLER-0090,2,12.00,24.00
ORD-0000104,4,PROD-000277,SELLER-0142,3,11.00,33.00
ORD-0000105,1,PROD-000877,SELLER-0186,1,16.00,16.00
ORD-0000105,2,PROD-000194,SELLER-0083,3,74.00,222.00
ORD-0000105,3,PROD-000919,SELLER-0093,1,377.00,377.00
ORD-0000106,1,PROD-000944,SELLER-0191,1,198.00,198.00
ORD-0000106,2,PROD-000159,SELLER-0032,3,29.00,87.00
ORD-0000107,1,PROD-000007,SELLER-0138,2,915.00,1830.00
ORD-0000107,2,PROD-000293,SELLER-0166,1,78.00,78.00
ORD-0000107,3,PROD-000721,SELLER-0085,2,60.00,120.00
ORD-0000108,1,PROD-000918,SELLER-0118,2,59.00,118.00
ORD-0000108,2,PROD-000203,SELLER-0013,1,597.00,597.00
ORD-0000109,1,PROD-000248,SELLER-0012,3,104.00,312.00
ORD-0000109,2,PROD-000416,SELLER-0131,1,475.00,475.00
ORD-0000110,1,PROD-000647,SELLER-0178,1,75.00,75.00
ORD-0000110,2,PROD-000892,SELLER-0167,2,10.00,20.00
ORD-0000111,1,PROD-000050,SELLER-0191,1,87.00,87.00
ORD-0000112,1,PROD-000726,SELLER-0197,1,33.00,33.00
ORD-0000112,2,PROD-000064,SELLER-0180,2,1006.00,2012.00
ORD-0000113,1,PROD-000990,SELLER-0113,2,394.00,788.00
ORD-0000114,1,PROD-000645,SELLER-0050,2,28.00,56.00
ORD-0000114,2,PROD-000211,SELLER-0059,3,623.00,1869.00
ORD-0000114,3,PROD-000990,SELLER-0113,2,394.00,788.00
ORD-0000114,4,PROD-000030,SELLER-0177,2,203.00,406.00
ORD-0000115,1,PROD-000721,SELLER-0085,3,60.00,180.00
ORD-0000115,2,PROD-000941,SELLER-0061,2,120.00,240.00
ORD-0000115,3,PROD-000036,SELLER-0047,1,132.00,132.00
ORD-0000115,4,PROD-000528,SELLER-9999,1,30.00,30.00
ORD-0000116,1,PROD-000575,SELLER-0092,2,40.00,80.00
ORD-0000116,2,PROD-000791,SELLER-0173,2,103.00,206.00
ORD-0000116,3,PROD-000424,SELLER-0156,2,46.00,92.00
ORD-0000117,1,PROD-000206,SELLER-0020,3,42.00,126.00
ORD-0000117,2,PROD-000540,SELLER-0135,3,205.00,615.00
ORD-0000117,3,PROD-000372,SELLER-0092,3,21.00,63.00
ORD-0000117,4,PROD-000740,SELLER-0130,1,758.00,758.00
ORD-0000118,1,PROD-000326,SELLER-0108,3,36.00,108.00
ORD-0000118,2,PROD-000369,SELLER-0162,3,102.00,306.00
ORD-0000118,3,PROD-000251,SELLER-0018,3,428.00,1284.00
ORD-0000119,1,PROD-000839,SELLER-0109,2,22.00,44.00
ORD-0000119,2,PROD-000350,SELLER-0121,1,249.00,249.00
ORD-0000120,1,PROD-000095,SELLER-0036,1,218.00,218.00
ORD-0000121,1,PROD-000604,SELLER-0092,2,226.00,452.00
ORD-0000122,1,PROD-000256,SELLER-0075,1,154.00,154.00
ORD-0000122,2,PROD-000555,SELLER_0132,2,30.00,60.00
ORD-0000123,1,PROD-000505,SELLER-0033,1,79.00,79.00
ORD-0000123,2,PROD-000470,SELLER-0197,1,488.00,488.00
ORD-0000123,3,PROD-000743,SELLER-9999,2,331.00,662.00
ORD-0000124,1,PROD-000749,SELLER-0127,2,287.00,574.00
ORD-0000125,1,PROD-000684,SELLER-0144,3,77.00,231.00
ORD-0000125,2,PROD-000465,SELLER-0092,2,285.00,570.00
ORD-0000125,3,PROD-000202,SELLER-9999,3,103.00,309.00
ORD-0000126,1,PROD-000617,SELLER-0167,2,51.00,102.00
ORD-0000126,2,PROD-000819,SELLER-0060,3,163.00,489.00
ORD-0000126,3,PROD-000636,SELLER-0083,1,65.00,65.00
ORD-0000126,4,PROD-000544,SELLER-0011,3,463.00,1389.00
ORD-0000127,1,PROD-000819,SELLER-0060,3,163.00,489.00
ORD-0000128,1,PROD-000370,SELLER-0066,1,20.00,20.00
ORD-0000128,2,PROD-000033,SELLER-0081,2,472.00,944.00
ORD-0000128,3,PROD-000708,SELLER-0192,3,28.00,84.00
ORD-0000129,1,PROD-000477,SELLER_0187,1,147.00,147.00
ORD-0000130,1,PROD-000288,SELLER-0069,1,57.00,57.00
ORD-0000130,2,PROD-000025,SELLER-0095,3,495.00,1485.00
ORD-0000130,3,PROD-000069,SELLER-0020,1,935.00,935.00
ORD-0000131,1,PROD-000933,SELLER-0176,1,87.00,87.00
ORD-0000131,2,PROD-000630,SELLER-0091,1,137.00,137.00
ORD-0000131,3,PROD-000711,SELLER-0038,2,220.00,440.00
ORD-0000131,4,PROD-000988,SELLER-0193,3,54.00,162.00
ORD-0000132,1,PROD-000527,SELLER-0081,2,54.00,108.00
ORD-0000132,2,PROD-000743,SELLER-9999,2,331.00,662.00
ORD-0000132,3,PROD-000088,SELLER-0081,3,184.00,552.00
ORD-0000133,1,PROD-000761,SELLER-0139,1,101.00,101.00
ORD-0000133,2,PROD-000965,SELLER-0139,2,92.00,184.00
ORD-0000134,1,PROD-000252,SELLER-0057,3,20.00,60.00
ORD-0000135,1,PROD-000370,SELLER-0066,2,20.00,40.00
ORD-0000136,1,PROD-000450,SELLER-0173,2,15.00,30.00
ORD-0000136,2,PROD-000912,SELLER-0067,1,493.00,493.00
ORD-0000136,3,PROD-000235,SELLER-0084,3,102.00,306.00
ORD-0000137,1,PROD-000328,SELLER-0016,3,225.00,675.00
ORD-0000138,1,PROD-000051,SELLER-0100,2,17.00,34.00
ORD-0000138,2,PROD-000384,SELLER-0141,3,448.00,1344.00
ORD-0000139,1,PROD-000227,SELLER-0100,1,279.00,279.00
ORD-0000139,2,PROD-000720,SELLER-0043,3,478.00,1434.00
ORD-0000140,1,PROD-000593,SELLER-0031,3,55.00,165.00
ORD-0000140,2,PROD-000346,SELLER-0012,1,595.00,595.00
ORD-0000140,3,PROD-000204,SELLER-0130,2,669.00,1338.00
ORD-0000141,1,PROD-000406,SELLER-0057,2,9.00,18.00
ORD-0000141,2,PROD-000189,SELLER-0148,2,89.00,178.00
ORD-0000142,1,PROD-000801,SELLER-0123,2,29.00,58.00
ORD-0000142,2,PROD-000193,SELLER-0103,2,548.00,1096.00
ORD-0000142,3,PROD-000796,SELLER-0169,3,1177.00,3531.00
ORD-0000142,4,PROD-000410,SELLER-0035,1,102.00,102.00
ORD-0000143,1,PROD-000692,SELLER-0010,3,66.00,198.00
ORD-0000144,1,PROD-000611,SELLER-0040,2,54.00,108.00
ORD-0000144,2,PROD-000780,SELLER-0108,2,69.00,138.00
ORD-0000144,3,PROD-000989,SELLER-0200,1,257.00,257.00
ORD-0000144,4,PROD-000300,SELLER-9999,1,241.00,241.00
ORD-0000145,1,PROD-000781,SELLER-0137,1,179.00,179.00
ORD-0000146,1,PROD-000802,SELLER-0038,2,120.00,240.00
ORD-0000146,2,PROD-000256,SELLER-0075,2,154.00,308.00
ORD-0000146,3,PROD-000826,SELLER-0183,1,80.00,80.00
ORD-0000146,4,PROD-000334,SELLER-0160,2,68.00,136.00
ORD-0000147,1,PROD-000110,SELLER-0026,3,131.00,393.00
ORD-0000147,2,PROD-000936,SELLER-0039,2,106.00,212.00
ORD-0000148,1,PROD-000590,SELLER-0114,2,172.00,344.00
ORD-0000149,1,PROD-000318,SELLER-0130,2,136.00,272.00
ORD-0000149,2,PROD-000889,SELLER-0104,3,278.00,834.00
ORD-0000150,1,PROD-000261,SELLER-0118,2,79.00,158.00
ORD-0000150,2,PROD-000188,SELLER-0066,2,19.00,38.00
ORD-0000150,3,PROD-000967,SELLER-0035,1,38.00,38.00
ORD-0000151,1,PROD-000784,SELLER-0138,2,89.00,178.00
ORD-0000151,2,PROD-000347,SELLER-0025,3,796.00,2388.00
ORD-0000151,3,PROD-000157,SELLER-0141,2,308.00,616.00
ORD-0000152,1,PROD-000111,SELLER-0056,2,46.00,92.00
ORD-0000153,1,PROD-000547,SELLER-0044,1,72.00,72.00
ORD-0000153,2,PROD-000577,SELLER-0051,2,77.00,154.00
ORD-0000153,3,PROD-000378,SELLER-0045,1,89.00,89.00
ORD-0000153,4,PROD-000638,SELLER-0174,3,283.00,849.00
ORD-0000154,1,PROD-000870,SELLER_0072,3,776.00,2328.00
ORD-0000155,1,PROD-000579,SELLER-0006,3,781.00,2343.00
ORD-0000155,2,PROD-000665,SELLER-0095,2,360.00,720.00
ORD-0000155,3,PROD-000219,SELLER_0187,3,82.00,246.00
ORD-0000155,4,PROD-000794,SELLER-0053,3,126.00,378.00
ORD-0000156,1,PROD-000862,SELLER-0022,3,93.00,279.00
ORD-0000156,2,PROD-000787,SELLER-0134,3,200.00,600.00
ORD-0000157,1,PROD-000640,SELLER-0104,2,85.00,170.00
ORD-0000157,2,PROD-000912,SELLER-0067,1,493.00,493.00
ORD-0000157,3,PROD-000675,SELLER-0150,2,244.00,488.00
ORD-0000157,4,PROD-000736,SELLER-0092,1,28.00,28.00
ORD-0000158,1,PROD-000666,SELLER-0041,2,318.00,636.00
ORD-0000158,2,PROD-000893,SELLER_0101,3,66.00,198.00
ORD-0000158,3,PROD-000312,SELLER-0115,3,695.00,2085.00
ORD-0000158,4,PROD-000074,SELLER-0191,1,28.00,28.00
