event_id,order_id,carrier_id,event_type,event_at
SHIP-00000040,ORD-0000011,CARR-009,handed_to_carrier,2025-02-01 01:28:06
SHIP-00000041,ORD-0000011,CARR-009,in_transit,2025-02-01 17:28:06
SHIP-00000042,ORD-0000011,CARR-009,delivered,2025-02-11 17:28:06
SHIP-00000043,ORD-0000012,CARR-005,order_created,2023-12-25 01:16:43
SHIP-00000044,ORD-0000012,CARR-005,label_printed,2023-12-25 03:16:43
SHIP-00000045,ORD-0000012,CARR-005,handed_to_carrier,2023-12-25 09:16:43
SHIP-00000046,ORD-0000012,CARR-005,in_transit,2023-12-26 01:16:43
SHIP-00000047,ORD-0000012,CARR-005,delivered,2024-01-08 01:16:43
SHIP-00000048,ORD-0000013,CARR-004,order_created,2024-04-01 10:03:18
SHIP-00000049,ORD-0000013,CARR-004,label_printed,2024-04-01 12:03:18
SHIP-00000050,ORD-0000013,CARR-004,handed_to_carrier,2024-04-01 18:03:18
SHIP-00000051,ORD-0000013,CARR-004,in_transit,2024-04-02 10:03:18
SHIP-00000052,ORD-0000013,CARR-004,delivered,2024-04-11 10:03:18
SHIP-00000053,ORD-0000016,CARR-004,order_created,2022-03-15 21:04:43
SHIP-00000054,ORD-0000016,CARR-004,label_printed,2022-03-15 23:04:43
SHIP-00000055,ORD-0000016,CARR-004,handed_to_carrier,2022-03-16 05:04:43
SHIP-00000056,ORD-0000016,CARR-004,in_transit,2022-03-16 21:04:43
SHIP-00000057,ORD-0000016,CARR-004,delivered,2022-03-24 21:04:43
SHIP-00000058,ORD-0000017,CARR-004,order_created,2024-06-06 17:25:27
SHIP-00000059,ORD-0000017,CARR-004,label_printed,2024-06-06 19:25:27
SHIP-00000060,ORD-0000017,CARR-004,handed_to_carrier,2024-06-07 01:25:27
SHIP-00000061,ORD-0000017,CARR-004,in_transit,2024-06-07 17:25:27
SHIP-00000062,ORD-0000017,CARR-004,delivered,2024-06-14 17:25:27
SHIP-00000063,ORD-0000018,CARR-008,order_created,2024-12-01 17:09:02
SHIP-00000064,ORD-0000018,CARR-008,label_printed,2024-12-01 19:09:02
SHIP-00000065,ORD-0000018,CARR-008,handed_to_carrier,2024-12-02 01:09:02
SHIP-00000066,ORD-0000018,CARR-008,in_transit,2024-12-02 17:09:02
SHIP-00000067,ORD-0000018,CARR-008,delivered,2024-12-09 17:09:02
SHIP-00000068,ORD-0000019,CARR-002,order_created,2022-11-28 12:33:00
SHIP-00000069,ORD-0000019,CARR-002,label_printed,2022-11-28 14:33:00
SHIP-00000070,ORD-0000019,CARR-002,handed_to_carrier,2022-11-28 20:33:00
SHIP-00000071,ORD-0000019,CARR-002,in_transit,2022-11-29 12:33:00
SHIP-00000072,ORD-0000019,CARR-002,delivered,2022-12-03 12:33:00
SHIP-00000073,ORD-0000021,CARR-007,order_created,2022-12-01 10:08:30
SHIP-00000074,ORD-0000021,CARR-007,label_printed,2022-12-01 12:08:30
SHIP-00000075,ORD-0000021,CARR-007,handed_to_carrier,2022-12-01 18:08:30
SHIP-00000076,ORD-0000021,CARR-007,in_transit,2022-12-02 10:08:30
SHIP-00000077,ORD-0000021,CARR-007,delivered,2022-12-05 10:08:30
SHIP-00000078,ORD-0000022,CARR-005,order_created,2026-03-31 03:08:39
SHIP-00000079,ORD-0000022,CARR-005,label_printed,2026-03-31 05:08:39
SHIP-00000080,ORD-0000022,CARR-005,handed_to_carrier,2026-03-31 11:08:39
SHIP-00000081,ORD-0000022,CARR-005,in_transit,2026-04-01 03:08:39
SHIP-00000082,ORD-0000022,CARR-005,delivered,2026-04-11 03:08:39
SHIP-00000083,ORD-0000023,CARR-009,order_created,2024-01-27 06:19:08
SHIP-00000084,ORD-0000023,CARR-009,label_printed,2024-01-27 08:19:08
SHIP-00000085,ORD-0000023,CARR-009,handed_to_carrier,2024-01-27 14:19:08
SHIP-00000086,ORD-0000023,CARR-009,in_transit,2024-01-28 06:19:08
SHIP-00000087,ORD-0000023,CARR-009,delivered,2024-02-05 06:19:08
SHIP-00000088,ORD-0000024,CARR-003,order_created,2024-11-26 07:49:53
SHIP-00000089,ORD-0000024,CARR-003,label_printed,2024-11-26 09:49:53
SHIP-00000090,ORD-0000024,CARR-003,handed_to_carrier,2024-11-26 15:49:53
SHIP-00000091,ORD-0000024,CARR-003,in_transit,2024-11-27 07:49:53
SHIP-00000092,ORD-0000024,CARR-003,delivered,2024-12-05 07:49:53
SHIP-00000093,ORD-0000025,CARR-008,order_created,2026-04-01 10:00:15
SHIP-00000094,ORD-0000025,CARR-008,label_printed,2026-04-01 12:00:15
SHIP-00000095,ORD-0000025,CARR-008,handed_to_carrier,2026-04-01 18:00:15
SHIP-00000096,ORD-0000025,CARR-008,in_transit,2026-04-02 10:00:15
SHIP-00000097,ORD-0000025,CARR-008,delivered,2026-04-08 10:00:15
SHIP-00000098,ORD-0000026,CARR-004,order_created,2022-01-05 23:20:02
SHIP-00000099,ORD-0000026,CARR-004,label_printed,2022-01-06 01:20:02
SHIP-00000100,ORD-0000026,CARR-004,handed_to_carrier,2022-01-06 07:20:02
SHIP-00000101,ORD-0000026,CARR-004,in_transit,2022-01-06 23:20:02
SHIP-00000102,ORD-0000026,CARR-004,delivered,2022-01-13 23:20:02
SHIP-00000103,ORD-0000027,CARR-008,order_created,2024-08-27 17:02:16
SHIP-00000104,ORD-0000027,CARR-008,label_printed,2024-08-27 19:02:16
SHIP-00000105,ORD-0000027,CARR-008,handed_to_carrier,2024-08-28 01:02:16
SHIP-00000106,ORD-0000027,CARR-008,in_transit,2024-08-28 17:02:16
SHIP-00000107,ORD-0000027,CARR-008,delivered,2024-09-03 17:02:16
SHIP-00000108,ORD-0000028,CARR-001,order_created,2024-01-31 23:06:30
SHIP-00000109,ORD-0000028,CARR-001,label_printed,2024-02-01 01:06:30
SHIP-00000110,ORD-0000028,CARR-001,handed_to_carrier,2024-02-01 07:06:30
SHIP-00000111,ORD-0000028,CARR-001,in_transit,2024-02-01 23:06:30
SHIP-00000112,ORD-0000029,CARR-002,order_created,2024-12-20 04:19:17
SHIP-00000113,ORD-0000029,CARR-002,label_printed,2024-12-20 06:19:17
SHIP-00000114,ORD-0000029,CARR-002,handed_to_carrier,2024-12-20 12:19:17
SHIP-00000115,ORD-0000029,CARR-002,in_transit,2024-12-21 04:19:17
SHIP-00000116,ORD-0000029,CARR-002,delivered,2024-12-25 04:19:17
SHIP-00000117,ORD-0000030,CARR-008,order_created,2025-03-24 01:58:25
SHIP-00000118,ORD-0000030,CARR-008,label_printed,2025-03-24 03:58:25
SHIP-00000119,ORD-0000030,CARR-008,handed_to_carrier,2025-03-24 09:58:25
SHIP-00000120,ORD-0000030,CARR-008,in_transit,2025-03-25 01:58:25
SHIP-00000121,ORD-0000031,CARR-002,order_created,2022-10-10 00:36:04
SHIP-00000122,ORD-0000031,CARR-002,label_printed,2022-10-10 02:36:04
SHIP-00000123,ORD-0000031,CARR-002,handed_to_carrier,2022-10-10 08:36:04
SHIP-00000124,ORD-0000031,CARR-002,in_transit,2022-10-11 00:36:04
SHIP-00000125,ORD-0000031,CARR-002,delivered,2022-10-16 00:36:04
SHIP-00000126,ORD-0000032,CARR-009,order_created,2022-07-25 03:08:38
SHIP-00000127,ORD-0000032,CARR-009,label_printed,2022-07-25 05:08:38
SHIP-00000128,ORD-0000032,CARR-009,handed_to_carrier,2022-07-25 11:08:38
SHIP-00000129,ORD-0000032,CARR-009,in_transit,2022-07-26 03:08:38
SHIP-00000130,ORD-0000032,CARR-009,delivered,2022-08-08 03:08:38
SHIP-00000131,ORD-0000033,CARR-005,order_created,2023-11-24 21:35:22
SHIP-00000132,ORD-0000033,CARR-005,label_printed,2023-11-24 23:35:22
SHIP-00000133,ORD-0000033,CARR-005,handed_to_carrier,2023-11-25 05:35:22
SHIP-00000134,ORD-0000033,CARR-005,in_transit,2023-11-25 21:35:22
SHIP-00000135,ORD-0000033,CARR-005,delivered,2023-12-05 21:35:22
SHIP-00000136,ORD-0000034,CARR-001,order_created,2024-12-03 18:43:49
SHIP-00000137,ORD-0000034,CARR-001,label_printed,2024-12-03 20:43:49
SHIP-00000138,ORD-0000034,CARR-001,handed_to_carrier,2024-12-04 02:43:49
SHIP-00000139,ORD-0000034,CARR-001,in_transit,2024-12-04 18:43:49
SHIP-00000140,ORD-0000034,CARR-001,delivered,2024-12-07 18:43:49
SHIP-00000141,ORD-0000035,CARR-003,order_created,2024-03-26 16:48:23
SHIP-00000142,ORD-0000035,CARR-003,label_printed,2024-03-26 18:48:23
SHIP-00000143,ORD-0000035,CARR-003,handed_to_carrier,2024-03-27 00:48:23
SHIP-00000144,ORD-0000035,CARR-003,in_transit,2024-03-27 16:48:23
SHIP-00000145,ORD-0000035,CARR-003,delivered,2024-04-04 16:48:23
SHIP-00000146,ORD-0000036,CARR-010,order_created,2022-01-13 15:54:11
SHIP-00000147,ORD-0000036,CARR-010,label_printed,2022-01-13 17:54:11
SHIP-00000148,ORD-0000036,CARR-010,handed_to_carrier,2022-01-13 23:54:11
SHIP-00000149,ORD-0000036,CARR-010,in_transit,2022-01-14 15:54:11
SHIP-00000150,ORD-0000036,CARR-010,delivered,2022-01-20 15:54:11
SHIP-00000151,ORD-0000037,CARR-005,order_created,2022-11-20 04:25:23
SHIP-00000152,ORD-0000037,CARR-005,label_printed,2022-11-20 06:25:23
SHIP-00000153,ORD-0000037,CARR-005,handed_to_carrier,2022-11-20 12:25:23
SHIP-00000154,ORD-0000037,CARR-005,in_transit,2022-11-21 04:25:23
SHIP-00000155,ORD-0000037,CARR-005,delivered,2022-12-02 04:25:23
SHIP-00000156,ORD-0000038,CARR-001,order_created,2022-01-19 18:25:00
SHIP-00000157,ORD-0000038,CARR-001,label_printed,2022-01-19 20:25:00
SHIP-00000158,ORD-0000038,CARR-001,handed_to_carrier,2022-01-20 02:25:00
SHIP-00000159,ORD-0000038,CARR-001,in_transit,2022-01-20 18:25:00
SHIP-00000160,ORD-0000038,CARR-001,delivered,2022-01-24 18:25:00
SHIP-00000161,ORD-0000039,CARR-001,order_created,2025-11-27 06:32:10
SHIP-00000162,ORD-0000039,CARR-001,label_printed,2025-11-27 08:32:10
SHIP-00000163,ORD-0000039,CARR-001,handed_to_carrier,2025-11-27 14:32:10
SHIP-00000164,ORD-0000039,CARR-001,in_transit,2025-11-28 06:32:10
SHIP-00000165,ORD-0000041,CARR-001,order_created,2025-10-31 19:42:32
SHIP-00000166,ORD-0000041,CARR-001,label_printed,2025-10-31 21:42:32
SHIP-00000167,ORD-0000041,CARR-001,handed_to_carrier,2025-11-01 03:42:32
SHIP-00000168,ORD-0000041,CARR-001,in_transit,2025-11-01 19:42:32
SHIP-00000169,ORD-0000041,CARR-001,delivered,2025-11-07 19:42:32
SHIP-00000170,ORD-0000042,CARR-008,order_created,2023-11-27 10:47:45
SHIP-00000171,ORD-0000042,CARR-008,label_printed,2023-11-27 12:47:45
SHIP-00000172,ORD-0000042,CARR-008,handed_to_carrier,2023-11-27 18:47:45
SHIP-00000173,ORD-0000042,CARR-008,in_transit,2023-11-28 10:47:45
SHIP-00000174,ORD-0000043,CARR-008,order_created,2025-11-24 13:02:08
SHIP-00000175,ORD-0000043,CARR-008,label_printed,2025-11-24 15:02:08
SHIP-00000176,ORD-0000043,CARR-008,handed_to_carrier,2025-11-24 21:02:08
SHIP-00000177,ORD-0000043,CARR-008,in_transit,2025-11-25 13:02:08
SHIP-00000178,ORD-0000043,CARR-008,delivered,2025-12-01 13:02:08
SHIP-00000179,ORD-0000044,CARR-001,order_created,2024-04-27 19:13:23
SHIP-00000180,ORD-0000044,CARR-001,label_printed,2024-04-27 21:13:23
SHIP-00000181,ORD-0000044,CARR-001,handed_to_carrier,2024-04-28 03:13:23
SHIP-00000182,ORD-0000044,CARR-001,in_transit,2024-04-28 19:13:23
SHIP-00000183,ORD-0000044,CARR-001,delivered,2024-05-08 19:13:23
SHIP-00000184,ORD-0000046,CARR-002,order_created,2022-12-14 23:53:29
SHIP-00000185,ORD-0000046,CARR-002,label_printed,2022-12-15 01:53:29
SHIP-00000186,ORD-0000046,CARR-002,handed_to_carrier,2022-12-15 07:53:29
SHIP-00000187,ORD-0000046,CARR-002,in_transit,2022-12-15 23:53:29
SHIP-00000188,ORD-0000046,CARR-002,delivered,2022-12-19 23:53:29
SHIP-00000189,ORD-0000047,CARR-010,order_created,2022-11-13 11:45:22
SHIP-00000190,ORD-0000047,CARR-010,label_printed,2022-11-13 13:45:22
SHIP-00000191,ORD-0000047,CARR-010,handed_to_carrier,2022-11-13 19:45:22
SHIP-00000192,ORD-0000047,CARR-010,in_transit,2022-11-14 11:45:22
SHIP-00000193,ORD-0000047,CARR-010,delivered,2022-11-22 11:45:22
SHIP-00000194,ORD-0000048,CARR-005,order_created,2026-02-03 03:43:11
SHIP-00000195,ORD-0000048,CARR-005,label_printed,2026-02-03 05:43:11
SHIP-00000196,ORD-0000048,CARR-005,handed_to_carrier,2026-02-03 11:43:11
SHIP-00000197,ORD-0000048,CARR-005,in_transit,2026-02-04 03:43:11
SHIP-00000198,ORD-0000048,CARR-005,delivered,2026-02-21 03:43:11
SHIP-00000199,ORD-0000049,CARR-004,order_created,2024-02-07 06:21:19
SHIP-00000200,ORD-0000049,CARR-004,label_printed,2024-02-07 08:21:19
SHIP-00000201,ORD-0000049,CARR-004,handed_to_carrier,2024-02-07 14:21:19
SHIP-00000202,ORD-0000049,CARR-004,in_transit,2024-02-08 06:21:19
SHIP-00000203,ORD-0000049,CARR-004,delivered,2024-02-15 06:21:19
SHIP-00000204,ORD-0000050,CARR-007,order_created,2025-08-22 09:46:03
SHIP-00000205,ORD-0000050,CARR-007,label_printed,2025-08-22 11:46:03
SHIP-00000206,ORD-0000050,CARR-007,handed_to_carrier,2025-08-22 17:46:03
SHIP-00000207,ORD-0000050,CARR-007,in_transit,2025-08-23 09:46:03
SHIP-00000208,ORD-0000050,CARR-007,delivered,2025-08-27 09:46:03
SHIP-00000209,ORD-0000051,CARR-003,order_created,2024-10-24 23:52:58
SHIP-00000210,ORD-0000051,CARR-003,label_printed,2024-10-25 01:52:58
SHIP-00000211,ORD-0000051,CARR-003,handed_to_carrier,2024-10-25 07:52:58
SHIP-00000212,ORD-0000051,CARR-003,in_transit,2024-10-25 23:52:58
SHIP-00000213,ORD-0000051,CARR-003,delivered,2024-11-01 23:52:58
SHIP-00000214,ORD-0000052,CARR-002,order_created,2023-11-26 21:16:53
SHIP-00000215,ORD-0000052,CARR-002,label_printed,2023-11-26 23:16:53
SHIP-00000216,ORD-0000052,CARR-002,handed_to_carrier,2023-11-27 05:16:53
SHIP-00000217,ORD-0000052,CARR-002,in_transit,2023-11-27 21:16:53
SHIP-00000218,ORD-0000052,CARR-002,delivered,2023-12-02 21:16:53
SHIP-00000219,ORD-0000053,CARR-002,order_created,2024-08-21 06:35:11
SHIP-00000220,ORD-0000053,CARR-002,label_printed,2024-08-21 08:35:11
SHIP-00000221,ORD-0000053,CARR-002,handed_to_carrier,2024-08-21 14:35:11
SHIP-00000222,ORD-0000053,CARR-002,in_transit,2024-08-22 06:35:11
SHIP-00000223,ORD-0000053,CARR-002,delivered,2024-08-27 06:35:11
SHIP-00000224,ORD-0000054,CARR-003,order_created,2025-02-24 00:26:03
SHIP-00000225,ORD-0000054,CARR-003,label_printed,2025-02-24 02:26:03
SHIP-00000226,ORD-0000054,CARR-003,handed_to_carrier,2025-02-24 08:26:03
SHIP-00000227,ORD-0000054,CARR-003,in_transit,2025-02-25 00:26:03
SHIP-00000228,ORD-0000054,CARR-003,delivered,2025-03-04 00:26:03
SHIP-00000229,ORD-0000056,CARR-003,order_created,2024-04-06 12:43:58
SHIP-00000230,ORD-0000056,CARR-003,label_printed,2024-04-06 14:43:58
SHIP-00000231,ORD-0000056,CARR-003,handed_to_carrier,2024-04-06 20:43:58
SHIP-00000232,ORD-0000056,CARR-003,in_transit,2024-04-07 12:43:58
SHIP-00000233,ORD-0000056,CARR-003,delivered,2024-04-15 12:43:58
SHIP-00000234,ORD-0000057,CARR-010,order_created,2023-05-20 01:19:35
SHIP-00000235,ORD-0000057,CARR-010,label_printed,2023-05-20 03:19:35
SHIP-00000236,ORD-0000057,CARR-010,handed_to_carrier,2023-05-20 09:19:35
SHIP-00000237,ORD-0000057,CARR-010,in_transit,2023-05-21 01:19:35
SHIP-00000238,ORD-0000057,CARR-010,delivered,2023-05-28 01:19:35
SHIP-00000239,ORD-0000058,CARR-003,order_created,2025-09-01 06:58:34
SHIP-00000240,ORD-0000058,CARR-003,label_printed,2025-09-01 08:58:34
SHIP-00000241,ORD-0000058,CARR-003,handed_to_carrier,2025-09-01 14:58:34
SHIP-00000242,ORD-0000058,CARR-003,in_transit,2025-09-02 06:58:34
SHIP-00000243,ORD-0000058,CARR-003,delivered,2025-09-09 06:58:34
SHIP-00000244,ORD-0000059,CARR-006,order_created,2023-07-26 03:31:55
SHIP-00000245,ORD-0000059,CARR-006,label_printed,2023-07-26 05:31:55
SHIP-00000246,ORD-0000059,CARR-006,handed_to_carrier,2023-07-26 11:31:55
SHIP-00000247,ORD-0000059,CARR-006,in_transit,2023-07-27 03:31:55
SHIP-00000248,ORD-0000059,CARR-006,delivered,2023-08-01 03:31:55
SHIP-00000249,ORD-0000060,CARR-005,order_created,2024-04-11 12:04:04
SHIP-00000250,ORD-0000060,CARR-005,label_printed,2024-04-11 14:04:04
SHIP-00000251,ORD-0000060,CARR-005,handed_to_carrier,2024-04-11 20:04:04
SHIP-00000252,ORD-0000060,CARR-005,in_transit,2024-04-12 12:04:04
SHIP-00000253,ORD-0000060,CARR-005,delivered,2024-04-21 12:04:04
SHIP-00000254,ORD-0000061,CARR-003,order_created,2022-10-14 23:32:32
SHIP-00000255,ORD-0000061,CARR-003,label_printed,2022-10-15 01:32:32
SHIP-00000256,ORD-0000061,CARR-003,handed_to_carrier,2022-10-15 07:32:32
SHIP-00000257,ORD-0000061,CARR-003,in_transit,2022-10-15 23:32:32
SHIP-00000258,ORD-0000061,CARR-003,delivered,2022-10-22 23:32:32
SHIP-00000259,ORD-0000062,CARR-001,order_created,2024-11-21 19:25:57
SHIP-00000260,ORD-0000062,CARR-001,label_printed,2024-11-21 21:25:57
SHIP-00000261,ORD-0000062,CARR-001,handed_to_carrier,2024-11-22 03:25:57
SHIP-00000262,ORD-0000062,CARR-001,in_transit,2024-11-22 19:25:57
SHIP-00000263,ORD-0000062,CARR-001,delivered,2024-11-28 19:25:57
SHIP-00000264,ORD-0000065,CARR-002,order_created,2025-06-02 05:12:39
SHIP-00000265,ORD-0000065,CARR-002,label_printed,2025-06-02 07:12:39
SHIP-00000266,ORD-0000065,CARR-002,handed_to_carrier,2025-06-02 13:12:39
SHIP-00000267,ORD-0000065,CARR-002,in_transit,2025-06-03 05:12:39
SHIP-00000268,ORD-0000065,CARR-002,delivered,2025-06-05 05:12:39
SHIP-00000269,ORD-0000066,CARR-009,order_created,2024-07-01 14:09:00
SHIP-00000270,ORD-0000066,CARR-009,label_printed,2024-07-01 16:09:00
SHIP-00000271,ORD-0000066,CARR-009,handed_to_carrier,2024-07-01 22:09:00
SHIP-00000272,ORD-0000066,CARR-009,in_transit,2024-07-02 14:09:00
SHIP-00000273,ORD-0000066,CARR-009,delivered,2024-07-10 14:09:00
SHIP-00000274,ORD-0000067,CARR-004,order_created,2024-12-25 10:15:49
SHIP-00000275,ORD-0000067,CARR-004,label_printed,2024-12-25 12:15:49
SHIP-00000276,ORD-0000067,CARR-004,handed_to_carrier,2024-12-25 18:15:49
SHIP-00000277,ORD-0000067,CARR-004,in_transit,2024-12-26 10:15:49
SHIP-00000278,ORD-0000067,CARR-004,delivered,2025-01-01 10:15:49
SHIP-00000279,ORD-0000068,CARR-002,order_created,2023-07-11 14:02:09
SHIP-00000280,ORD-0000068,CARR-002,label_printed,2023-07-11 16:02:09
SHIP-00000281,ORD-0000068,CARR-002,handed_to_carrier,2023-07-11 22:02:09
SHIP-00000282,ORD-0000068,CARR-002,in_transit,2023-07-12 14:02:09
SHIP-00000283,ORD-0000068,CARR-002,delivered,2023-07-15 14:02:09
SHIP-00000284,ORD-0000069,CARR-005,order_created,2023-05-28 19:07:19
SHIP-00000285,ORD-0000069,CARR-005,label_printed,2023-05-28 21:07:19
SHIP-00000286,ORD-0000069,CARR-005,handed_to_carrier,2023-05-29 03:07:19
SHIP-00000287,ORD-0000069,CARR-005,in_transit,2023-05-29 19:07:19
SHIP-00000288,ORD-0000069,CARR-005,delivered,2023-06-08 19:07:19
SHIP-00000289,ORD-0000070,CARR-004,order_created,2025-10-03 08:58:05
SHIP-00000290,ORD-0000070,CARR-004,label_printed,2025-10-03 10:58:05
SHIP-00000291,ORD-0000070,CARR-004,handed_to_carrier,2025-10-03 16:58:05
SHIP-00000292,ORD-0000070,CARR-004,in_transit,2025-10-04 08:58:05
SHIP-00000293,ORD-0000070,CARR-004,delivered,2025-10-09 08:58:05
SHIP-00000294,ORD-0000071,CARR-004,order_created,2025-12-09 17:14:51
SHIP-00000295,ORD-0000071,CARR-004,label_printed,2025-12-09 19:14:51
SHIP-00000296,ORD-0000071,CARR-004,handed_to_carrier,2025-12-10 01:14:51
SHIP-00000297,ORD-0000071,CARR-004,in_transit,2025-12-10 17:14:51
SHIP-00000298,ORD-0000071,CARR-004,delivered,2025-12-17 17:14:51
SHIP-00000299,ORD-0000072,CARR-009,order_created,2023-03-30 22:23:19
SHIP-00000300,ORD-0000072,CARR-009,label_printed,2023-03-31 00:23:19
SHIP-00000301,ORD-0000072,CARR-009,handed_to_carrier,2023-03-31 06:23:19
SHIP-00000302,ORD-0000072,CARR-009,in_transit,2023-03-31 22:23:19
SHIP-00000303,ORD-0000072,CARR-009,delivered,2023-04-08 22:23:19
SHIP-00000304,ORD-0000075,CARR-009,order_created,2024-05-29 19:33:23
SHIP-00000305,ORD-0000075,CARR-009,label_printed,2024-05-29 21:33:23
SHIP-00000306,ORD-0000075,CARR-009,handed_to_carrier,2024-05-30 03:33:23
SHIP-00000307,ORD-0000075,CARR-009,in_transit,2024-05-30 19:33:23
SHIP-00000308,ORD-0000076,CARR-007,order_created,2023-11-24 09:23:33
SHIP-00000309,ORD-0000076,CARR-007,label_printed,2023-11-24 11:23:33
SHIP-00000310,ORD-0000076,CARR-007,handed_to_carrier,2023-11-24 17:23:33
SHIP-00000311,ORD-0000076,CARR-007,in_transit,2023-11-25 09:23:33
SHIP-00000312,ORD-0000076,CARR-007,delivered,2023-12-01 09:23:33
SHIP-00000313,ORD-0000079,CARR-006,order_created,2022-03-07 07:43:56
SHIP-00000314,ORD-0000079,CARR-006,label_printed,2022-03-07 09:43:56
SHIP-00000315,ORD-0000079,CARR-006,handed_to_carrier,2022-03-07 15:43:56
SHIP-00000316,ORD-0000079,CARR-006,in_transit,2022-03-08 07:43:56
SHIP-00000317,ORD-0000079,CARR-006,delivered,2022-03-21 07:43:56
SHIP-00000318,ORD-0000080,CARR-010,order_created,2024-11-26 12:20:11
SHIP-00000319,ORD-0000080,CARR-010,label_printed,2024-11-26 14:20:11
SHIP-00000320,ORD-0000080,CARR-010,handed_to_carrier,2024-11-26 20:20:11
SHIP-00000321,ORD-0000080,CARR-010,in_transit,2024-11-27 12:20:11
SHIP-00000322,ORD-0000080,CARR-010,delivered,2024-12-03 12:20:11
SHIP-00000323,ORD-0000081,CARR-004,order_created,2025-11-22 02:17:03
SHIP-00000324,ORD-0000081,CARR-004,label_printed,2025-11-22 04:17:03
SHIP-00000325,ORD-0000081,CARR-004,handed_to_carrier,2025-11-22 10:17:03
SHIP-00000326,ORD-0000081,CARR-004,in_transit,2025-11-23 02:17:03
SHIP-00000327,ORD-0000081,CARR-004,delivered,2025-11-30 02:17:03
SHIP-00000328,ORD-0000082,CARR-010,order_created,2024-02-11 11:31:12
SHIP-00000329,ORD-0000082,CARR-010,label_printed,2024-02-11 13:31:12
SHIP-00000330,ORD-0000082,CARR-010,handed_to_carrier,2024-02-11 19:31:12
SHIP-00000331,ORD-0000082,CARR-010,in_transit,2024-02-12 11:31:12
SHIP-00000332,ORD-0000082,CARR-010,delivered,2024-02-20 11:31:12
SHIP-00000333,ORD-0000083,CARR-007,order_created,2024-03-08 07:19:47
SHIP-00000334,ORD-0000083,CARR-007,label_printed,2024-03-08 09:19:47
SHIP-00000335,ORD-0000083,CARR-007,handed_to_carrier,2024-03-08 15:19:47
SHIP-00000336,ORD-0000083,CARR-007,in_transit,2024-03-09 07:19:47
