payment_id,order_id,method,status,amount,currency,paid_at
PAY-0000048,ORD-0000048,crypto,captured,1907.83,USD,2023-12-03 03:07:40
PAY-0000049,ORD-0000049,google_pay,captured,3923.03,USD,2023-11-20 16:53:00
PAY-0000050,ORD-0000050,apple_pay,captured,883.63,USD,2025-12-18 01:02:22
PAY-0000051,ORD-0000051,debit_card,refunded,1285.52,USD,2023-12-14 03:06:34
PAY-0000052,ORD-0000052,crypto,captured,407.23,USD,2022-12-01 05:12:19
PAY-0000053,ORD-0000053,boleto,captured,165.86,USD,2024-10-11 05:22:50
PAY-0000054,ORD-0000054,credit_card,captured,1846.36,USD,2023-06-03 18:04:55
PAY-0000055,ORD-0000055,paypal,captured,989.06,USD,2024-06-10 16:58:51
PAY-0000056,ORD-0000056,debit_card,captured,1006.81,USD,2025-11-24 22:31:38
PAY-0000057,ORD-0000057,debit_card,captured,119.30,USD,2023-08-10 19:43:46
PAY-0000058,ORD-0000058,crypto,chargeback,4322.65,USD,2022-11-29 18:31:04
PAY-0000059,ORD-0000059,debit_card,captured,2694.80,USD,2024-03-28 21:19:09
PAY-0000060,ORD-0000060,boleto,chargeback,2015.62,USD,2023-12-18 14:30:20
PAY-0000061,ORD-0000061,google_pay,captured,883.89,USD,2025-04-26 01:45:00
PAY-0000062,ORD-0000062,credit_card,captured,1961.07,USD,2023-12-17 18:34:32
PAY-0000063,ORD-0000063,apple_pay,refunded,1956.96,USD,2026-03-04 21:43:31
PAY-0000064,ORD-0000064,apple_pay,captured,836.59,USD,2025-01-17 01:43:48
PAY-0000065,ORD-0000065,pix,captured,2699.64,USD,2024-01-31 04:08:35
PAY-0000066,ORD-0000066,boleto,captured,149.18,USD,2026-03-12 16:06:27
PAY-0000067,ORD-0000067,credit_card,captured,1347.30,USD,2025-01-27 20:38:36
PAY-0000068,ORD-0000068,apple_pay,captured,486.12,USD,2025-12-17 08:23:06
PAY-0000069,ORD-0000069,credit_card,captured,820.21,USD,2025-04-08 09:33:14
PAY-0000070,ORD-0000070,credit_card,captured,112.75,USD,2023-01-02 20:13:47
PAY-0000071,ORD-0000071,paypal,captured,62.41,USD,2023-06-27 20:21:59
PAY-0000072,ORD-0000072,debit_card,captured,268.58,USD,2025-10-03 09:38:05
PAY-0000073,ORD-0000073,pix,captured,496.35,USD,2025-12-09 17:40:51
PAY-0000074,ORD-0000074,paypal,captured,751.18,USD,2023-03-30 22:30:19
PAY-0000075,ORD-0000075,debit_card,captured,513.96,USD,2024-04-21 21:34:13
PAY-0000076,ORD-0000076,credit_card,captured,289.01,USD,2025-06-26 21:31:07
PAY-0000077,ORD-0000077,apple_pay,captured,2405.65,USD,2022-07-07 09:00:09
PAY-0000078,ORD-0000078,credit_card,failed,1056.20,USD,2022-05-14 23:53:08
PAY-0000079,ORD-0000079,google_pay,chargeback,1006.88,USD,2023-03-12 17:38:36
PAY-0000080,ORD-0000080,credit_card,captured,883.93,USD,2023-11-26 08:58:01
PAY-0000081,ORD-0000081,debit_card,captured,2080.04,USD,2023-12-15 12:09:12
PAY-0000082,ORD-0000082,debit_card,captured,661.72,USD,2025-01-21 15:03:20
PAY-0000083,ORD-0000083,debit_card,captured,939.28,USD,2024-03-08 07:53:47
PAY-0000084,ORD-0000084,debit_card,captured,1848.48,USD,2024-12-25 06:12:20
PAY-0000085,ORD-0000085,pix,captured,743.59,USD,2025-08-11 15:56:50
PAY-0000086,ORD-0000086,pix,captured,327.71,USD,2023-12-04 04:10:28
PAY-0000087,ORD-0000087,crypto,captured,2885.71,USD,2024-04-22 22:46:19
PAY-0000088,ORD-0000088,apple_pay,captured,571.48,USD,2025-12-19 16:58:00
PAY-0000089,ORD-0000089,credit_card,captured,614.40,USD,2023-12-29 04:20:18
PAY-0000090,ORD-0000090,boleto,captured,971.77,USD,2023-03-09 17:49:35
PAY-0000091,ORD-0000091,google_pay,refunded,359.42,USD,2025-03-28 05:59:03
PAY-0000092,ORD-0000092,apple_pay,refunded,459.71,USD,2024-11-29 01:55:25
PAY-0000093,ORD-0000093,credit_card,refunded,131.90,USD,2024-08-05 15:52:00
PAY-0000094,ORD-0000094,paypal,chargeback,311.38,USD,2023-11-30 17:05:29
PAY-0000095,ORD-0000095,apple_pay,captured,74.76,USD,2024-12-18 12:19:15
PAY-0000096,ORD-0000096,pix,failed,2423.32,USD,2022-12-01 06:24:45
PAY-0000097,ORD-0000097,debit_card,chargeback,186.12,USD,2023-03-25 13:09:02
PAY-0000098,ORD-0000098,pix,chargeback,1134.62,USD,2025-09-01 17:27:21
PAY-0000099,ORD-0000099,debit_card,captured,428.16,USD,2024-05-08 16:15:59
PAY-0000100,ORD-0000100,debit_card,captured,413.44,USD,2025-12-01 18:15:05
PAY-0000101,ORD-0000101,debit_card,captured,1688.31,USD,2025-12-20 02:05:36
PAY-0000102,ORD-0000102,paypal,captured,1840.91,USD,2025-11-25 03:08:21
PAY-0000103,ORD-0000103,credit_card,captured,189.37,USD,2024-11-30 12:31:57
PAY-0000104,ORD-0000104,credit_card,captured,116.80,USD,2025-12-20 19:26:42
PAY-0000105,ORD-0000105,boleto,captured,1341.61,USD,2022-04-01 19:25:03
PAY-0000106,ORD-0000106,debit_card,captured,3142.56,USD,2025-12-08 18:23:20
PAY-0000107,ORD-0000107,debit_card,captured,85.30,USD,2022-11-26 18:56:47
PAY-0000108,ORD-0000108,credit_card,captured,130.52,USD,2023-10-08 22:17:13
PAY-0000109,ORD-0000109,paypal,captured,221.89,USD,2024-10-22 14:36:57
PAY-0000110,ORD-0000110,google_pay,captured,78.18,USD,2022-11-28 09:25:03
PAY-0000111,ORD-0000111,credit_card,captured,1522.82,USD,2024-02-22 15:05:35
PAY-0000112,ORD-0000112,pix,captured,1120.74,USD,2025-11-30 09:22:39
PAY-0000113,ORD-0000113,credit_card,captured,1385.54,USD,2024-08-15 23:37:55
PAY-0000114,ORD-0000114,paypal,captured,201.61,USD,2025-11-26 11:42:33
PAY-0000115,ORD-0000115,crypto,refunded,3611.58,USD,2023-08-19 06:34:53
PAY-0000116,ORD-0000116,paypal,refunded,1001.03,USD,2022-11-30 17:10:13
PAY-0000117,ORD-0000117,apple_pay,captured,436.76,USD,2024-11-28 12:55:12
PAY-0000118,ORD-0000118,apple_pay,captured,5290.42,USD,2024-07-31 06:11:05
PAY-0000119,ORD-0000119,google_pay,captured,990.91,USD,2024-07-19 13:08:03
PAY-0000120,ORD-0000120,debit_card,captured,2667.63,USD,2025-07-23 15:31:09
PAY-0000121,ORD-0000121,debit_card,failed,683.91,USD,2025-07-06 11:28:13
PAY-0000122,ORD-0000122,credit_card,failed,376.94,USD,2025-03-06 08:15:55
PAY-0000123,ORD-0000123,debit_card,refunded,590.74,USD,2024-11-27 16:30:08
PAY-0000124,ORD-0000124,debit_card,captured,90.03,USD,2026-03-10 19:07:57
PAY-0000125,ORD-0000125,debit_card,captured,267.36,USD,2026-02-24 04:51:35
PAY-0000126,ORD-0000126,credit_card,captured,399.53,USD,2022-07-19 22:37:11
PAY-0000127,ORD-0000127,pix,captured,244.09,USD,2025-02-22 09:50:00
PAY-0000128,ORD-0000128,boleto,captured,822.21,USD,2025-12-11 00:51:36
PAY-0000130,ORD-0000130,google_pay,captured,4915.91,USD,2023-11-16 09:36:19
PAY-0000131,ORD-0000131,boleto,captured,4421.79,USD,2025-02-12 23:43:52
PAY-0000132,ORD-0000132,crypto,captured,766.72,USD,2022-11-27 08:40:03
PAY-0000133,ORD-0000133,credit_card,captured,3293.74,USD,2025-08-08 20:35:09
PAY-0000134,ORD-0000134,google_pay,captured,1394.49,USD,2023-10-25 13:53:55
PAY-0000135,ORD-0000135,google_pay,captured,1124.06,USD,2024-12-13 18:24:06
PAY-0000136,ORD-0000136,debit_card,captured,196.16,USD,2023-07-29 15:39:20
PAY-0000137,ORD-0000137,paypal,captured,510.26,USD,2025-12-11 03:00:47
PAY-0000138,ORD-0000138,google_pay,refunded,1633.02,USD,2024-04-06 19:44:22
PAY-0000139,ORD-0000139,boleto,captured,422.69,USD,2022-11-24 10:42:51
PAY-0000140,ORD-0000140,debit_card,captured,678.56,USD,2025-07-12 10:54:17
PAY-0000141,ORD-0000141,apple_pay,captured,1471.32,USD,2025-11-30 10:21:50
PAY-0000142,ORD-0000142,debit_card,refunded,457.51,USD,2024-01-21 05:58:47
PAY-0000143,ORD-0000143,debit_card,captured,1749.91,USD,2025-11-22 12:44:48
PAY-0000144,ORD-0000144,crypto,captured,1682.33,USD,2022-11-25 19:57:00
PAY-0000145,ORD-0000145,credit_card,captured,2384.83,USD,2025-12-30 20:55:12
PAY-0000146,ORD-0000146,credit_card,captured,38.84,USD,2024-12-15 22:47:31
PAY-0000147,ORD-0000147,paypal,captured,198.26,USD,2022-11-25 17:06:38
PAY-0000148,ORD-0000148,google_pay,captured,53.96,USD,2023-07-01 21:25:09
PAY-0000149,ORD-0000149,pix,captured,949.96,USD,2025-12-13 12:21:31
PAY-0000150,ORD-0000150,crypto,captured,241.20,USD,2022-11-27 11:23:26
PAY-0000151,ORD-0000151,credit_card,refunded,74.45,USD,2025-11-20 23:40:37
PAY-0000152,ORD-0000152,debit_card,captured,1786.25,USD,2023-11-17 19:31:59
PAY-0000153,ORD-0000153,credit_card,captured,454.63,USD,2024-11-14 17:40:05
PAY-0000154,ORD-0000154,pix,captured,1648.67,USD,2024-06-24 08:43:28
PAY-0000155,ORD-0000155,apple_pay,captured,2502.83,USD,2024-09-23 22:01:28
PAY-0000157,ORD-0000157,credit_card,refunded,4211.51,USD,2026-01-25 04:16:38
PAY-0000158,ORD-0000158,credit_card,refunded,2781.61,USD,2025-04-26 06:28:22
PAY-0000159,ORD-0000159,apple_pay,captured,1324.05,USD,2025-07-20 00:42:12
PAY-0000160,ORD-0000160,credit_card,captured,1093.49,USD,2023-02-16 15:15:30
PAY-0000161,ORD-0000161,google_pay,captured,36.39,USD,2023-12-11 01:46:42
PAY-0000162,ORD-0000162,apple_pay,captured,1668.85,USD,2024-07-17 04:50:48
PAY-0000163,ORD-0000163,credit_card,captured,1363.88,USD,2025-07-22 18:37:54
PAY-0000164,ORD-0000164,credit_card,captured,861.62,USD,2022-03-09 02:52:40
PAY-0000165,ORD-0000165,crypto,captured,737.53,USD,2024-01-06 02:01:29
PAY-0000166,ORD-0000166,credit_card,refunded,423.97,USD,2025-10-05 05:05:05
PAY-0000167,ORD-0000167,apple_pay,failed,119.23,USD,2025-04-24 20:06:01
PAY-0000168,ORD-0000168,credit_card,captured,70.19,USD,2023-07-10 02:32:17
PAY-0000169,ORD-0000169,credit_card,refunded,222.83,USD,2023-03-29 00:01:58
PAY-0000170,ORD-0000170,boleto,failed,387.53,USD,2025-02-25 21:12:02
PAY-0000171,ORD-0000171,pix,captured,360.72,USD,2022-11-24 12:55:45
PAY-0000172,ORD-0000172,debit_card,captured,622.12,USD,2024-06-12 12:33:49
PAY-0000173,ORD-0000173,credit_card,captured,2653.97,USD,2025-07-27 02:33:03
PAY-0000174,ORD-0000174,credit_card,captured,241.54,USD,2024-02-22 11:12:21
PAY-0000175,ORD-0000175,pix,captured,380.57,USD,2025-03-09 16:57:53
PAY-0000176,ORD-0000176,crypto,captured,498.95,USD,2023-02-25 00:50:32
PAY-0000177,ORD-0000177,credit_card,captured,3372.40,USD,2025-04-27 16:39:30
PAY-0000178,ORD-0000178,debit_card,captured,279.55,USD,2022-11-29 17:57:27
PAY-0000179,ORD-0000179,paypal,captured,643.84,USD,2023-09-16 04:01:52
PAY-0000180,ORD-0000180,debit_card,captured,1747.46,USD,2023-02-12 20:36:33
PAY-0000181,ORD-0000181,paypal,chargeback,377.69,USD,2024-09-26 06:07:13
PAY-0000182,ORD-0000182,credit_card,captured,2130.92,USD,2024-12-23 20:37:37
PAY-0000183,ORD-0000183,debit_card,captured,876.78,USD,2025-01-07 18:15:55
PAY-0000184,ORD-0000184,paypal,captured,847.25,USD,2023-12-07 23:06:27
PAY-0000185,ORD-0000185,credit_card,captured,828.54,USD,2022-11-24 07:57:04
PAY-0000186,ORD-0000186,debit_card,captured,914.03,USD,2026-01-08 02:19:26
PAY-0000187,ORD-0000187,paypal,captured,1822.05,USD,2024-12-29 08:29:08
PAY-0000188,ORD-0000188,google_pay,captured,638.10,USD,2024-11-27 09:15:51
PAY-0000189,ORD-0000189,debit_card,captured,1326.48,USD,2024-09-01 04:51:20
PAY-0000190,ORD-0000190,crypto,captured,1154.86,USD,2022-06-10 01:11:47
PAY-0000191,ORD-0000191,google_pay,captured,1659.17,USD,2023-11-24 00:55:43
PAY-0000192,ORD-0000192,apple_pay,chargeback,1739.70,USD,2024-11-21 08:39:27
PAY-0000193,ORD-0000193,google_pay,captured,17.66,USD,2023-12-29 15:29:09
PAY-0000194,ORD-0000194,apple_pay,captured,512.77,USD,2025-01-01 04:40:41
PAY-0000195,ORD-0000195,crypto,captured,1232.98,USD,2023-11-29 08:26:44
PAY-0000196,ORD-0000196,google_pay,captured,949.86,USD,2022-08-06 14:55:20
PAY-0000197,ORD-0000197,apple_pay,captured,397.95,USD,2024-04-20 03:45:25
PAY-0000199,ORD-0000199,paypal,captured,734.89,USD,2023-12-19 20:37:55
PAY-0000200,ORD-0000200,crypto,captured,651.44,USD,2026-03-02 20:27:36
PAY-0000201,ORD-0000201,credit_card,captured,3439.30,USD,2023-11-29 10:16:17
PAY-0000202,ORD-0000202,boleto,refunded,115.18,USD,2024-08-27 11:32:11
PAY-0000203,ORD-0000203,credit_card,captured,233.55,USD,2024-06-06 16:16:30
PAY-0000204,ORD-0000204,google_pay,captured,466.52,USD,2024-02-07 22:40:29
PAY-0000205,ORD-0000205,google_pay,captured,1620.19,USD,2024-11-24 12:36:27
PAY-0000206,ORD-0000206,credit_card,captured,754.00,USD,2026-01-13 07:21:35
PAY-0000207,ORD-0000207,credit_card,captured,1364.00,USD,2022-04-04 08:58:18
PAY-0000208,ORD-0000208,apple_pay,captured,360.74,USD,2024-11-29 00:49:42
PAY-0000209,ORD-0000209,boleto,captured,674.93,USD,2023-04-21 17:47:52
PAY-0000210,ORD-0000210,google_pay,captured,2048.74,USD,2025-10-28 00:43:09
PAY-0000211,ORD-0000211,credit_card,captured,365.59,USD,2025-06-20 01:22:39
PAY-0000212,ORD-0000212,debit_card,captured,1687.21,USD,2024-11-26 14:26:00
PAY-0000213,ORD-0000213,credit_card,captured,412.30,USD,2025-06-17 21:08:26
PAY-0000214,ORD-0000214,credit_card,captured,124.27,USD,2024-07-21 05:46:36
PAY-0000215,ORD-0000215,credit_card,captured,1842.00,USD,2025-11-28 21:12:19
PAY-0000216,ORD-0000216,boleto,captured,324.37,USD,2022-12-13 20:48:11
PAY-0000217,ORD-0000217,google_pay,chargeback,1622.05,USD,2026-01-12 04:47:57
PAY-0000218,ORD-0000218,credit_card,captured,986.49,USD,2024-06-21 15:29:20
PAY-0000219,ORD-0000219,debit_card,captured,559.27,USD,2024-03-31 18:00:26
PAY-0000220,ORD-0000220,boleto,captured,413.18,USD,2023-07-04 23:01:51
PAY-0000221,ORD-0000221,google_pay,captured,440.01,USD,2022-05-06 17:33:33
PAY-0000222,ORD-0000222,crypto,captured,407.77,USD,2023-12-01 22:04:02
PAY-0000223,ORD-0000223,pix,refunded,278.13,USD,2025-03-06 03:25:52
PAY-0000224,ORD-0000224,google_pay,captured,525.42,USD,2024-04-21 16:17:38
PAY-0000225,ORD-0000225,boleto,captured,447.23,USD,2022-10-12 19:43:50
PAY-0000226,ORD-0000226,credit_card,captured,1094.45,USD,2023-03-05 22:35:14
PAY-0000227,ORD-0000227,credit_card,captured,2091.05,USD,2024-11-25 15:01:58
PAY-0000228,ORD-0000228,pix,captured,1056.56,USD,2024-10-07 12:53:30
PAY-0000229,ORD-0000229,debit_card,captured,1436.71,USD,2025-01-28 15:15:19
PAY-0000230,ORD-0000230,credit_card,captured,2128.43,USD,2025-02-17 07:37:59
PAY-0000231,ORD-0000231,debit_card,captured,1403.57,USD,2023-04-20 14:13:58
PAY-0000232,ORD-0000232,credit_card,captured,2292.78,USD,2025-11-24 13:50:20
PAY-0000233,ORD-0000233,paypal,captured,393.38,USD,2022-07-10 01:29:16
PAY-0000234,ORD-0000234,crypto,captured,231.72,USD,2025-03-19 23:39:12
PAY-0000235,ORD-0000235,credit_card,refunded,2496.87,USD,2024-01-03 05:57:01
PAY-0000236,ORD-0000236,debit_card,captured,2065.57,USD,2026-03-26 16:23:19
PAY-0000237,ORD-0000237,credit_card,captured,206.76,USD,2025-12-09 15:57:25
PAY-0000238,ORD-0000238,credit_card,captured,1366.72,USD,2023-11-26 22:22:17
PAY-0000239,ORD-0000239,paypal,chargeback,2225.13,USD,2023-03-08 20:50:37
PAY-0000240,ORD-0000240,debit_card,captured,378.72,USD,2023-02-19 03:36:31
PAY-0000241,ORD-0000241,credit_card,captured,1435.96,USD,2025-11-29 19:57:51
PAY-0000243,ORD-0000243,google_pay,captured,598.67,USD,2025-12-21 17:11:43
PAY-0000244,ORD-0000244,credit_card,captured,1483.93,USD,2025-11-24 06:22:18
PAY-0000245,ORD-0000245,credit_card,captured,815.08,USD,2025-07-28 02:42:53
PAY-0000246,ORD-0000246,credit_card,captured,840.56,USD,2023-11-14 17:49:09
PAY-0000247,ORD-0000247,paypal,captured,254.51,USD,2025-12-04 17:18:36
PAY-0000248,ORD-0000248,credit_card,captured,1916.67,USD,2024-04-14 19:26:21
PAY-0000249,ORD-0000249,credit_card,captured,3526.72,USD,2023-02-16 21:55:01
PAY-0000250,ORD-0000250,google_pay,captured,1299.77,USD,2024-11-25 18:29:00
PAY-0000251,ORD-0000251,pix,captured,189.10,USD,2025-01-17 06:22:57
PAY-0000252,ORD-0000252,paypal,captured,1305.34,USD,2024-11-29 06:18:39
PAY-0000253,ORD-0000253,boleto,captured,3454.81,USD,2024-09-25 12:02:46
PAY-0000254,ORD-0000254,debit_card,captured,1500.93,USD,2022-12-07 08:27:57
PAY-0000255,ORD-0000255,credit_card,captured,39.70,USD,2023-07-05 00:19:36
PAY-0000256,ORD-0000256,google_pay,captured,783.80,USD,2026-01-26 20:01:40
PAY-0000257,ORD-0000257,pix,captured,2341.87,USD,2022-11-24 21:06:53
PAY-0000258,ORD-0000258,google_pay,captured,1443.94,USD,2025-05-16 02:32:33
PAY-0000259,ORD-0000259,crypto,captured,525.49,USD,2025-10-15 23:47:11
PAY-0000260,ORD-0000260,debit_card,captured,652.80,USD,2024-11-28 00:31:08
PAY-0000261,ORD-0000261,apple_pay,captured,214.67,USD,2023-11-25 20:20:42
PAY-0000262,ORD-0000262,pix,captured,909.92,USD,2023-07-05 19:38:08
PAY-0000263,ORD-0000263,debit_card,chargeback,2214.94,USD,2025-07-18 16:42:34
PAY-0000264,ORD-0000264,debit_card,captured,961.23,USD,2024-06-18 18:12:13
PAY-0000265,ORD-0000265,credit_card,captured,497.02,USD,2026-02-26 15:29:19
PAY-0000266,ORD-0000266,boleto,refunded,1419.61,USD,2022-11-28 06:01:58
PAY-0000267,ORD-0000267,debit_card,captured,1360.81,USD,2024-11-25 15:52:36
PAY-0000268,ORD-0000268,pix,captured,3972.79,USD,2025-08-22 22:39:56
PAY-0000269,ORD-0000269,credit_card,captured,3314.20,USD,2025-07-21 20:52:51
PAY-0000270,ORD-0000270,boleto,captured,810.72,USD,2024-03-04 11:40:45
PAY-0000271,ORD-0000271,credit_card,refunded,919.48,USD,2025-07-26 14:48:20
PAY-0000272,ORD-0000272,crypto,refunded,1078.97,USD,2025-07-13 11:05:09
PAY-0000273,ORD-0000273,boleto,captured,168.86,USD,2023-08-17 07:37:09
PAY-0000274,ORD-0000274,crypto,captured,1580.36,USD,2023-08-14 22:14:51
PAY-0000275,ORD-0000275,debit_card,refunded,2022.92,USD,2025-07-10 19:27:49
PAY-0000276,ORD-0000276,credit_card,captured,52.88,USD,2024-12-11 23:58:44
PAY-0000277,ORD-0000277,debit_card,captured,1066.80,USD,2025-10-27 14:19:15
PAY-0000278,ORD-0000278,debit_card,failed,1496.37,USD,2025-07-16 11:55:27
PAY-0000279,ORD-0000279,credit_card,captured,1576.20,USD,2025-04-08 06:25:49
PAY-0000280,ORD-0000280,credit_card,captured,1210.62,USD,2023-01-15 07:35:50
PAY-0000281,ORD-0000281,credit_card,captured,166.29,USD,2023-11-03 22:21:01
PAY-0000282,ORD-0000282,credit_card,captured,679.94,USD,2022-03-04 15:11:49
PAY-0000283,ORD-0000283,paypal,captured,666.60,USD,2022-04-29 22:51:42
PAY-0000284,ORD-0000284,credit_card,captured,2419.05,USD,2025-12-27 09:11:17
PAY-0000285,ORD-0000285,debit_card,captured,288.47,USD,2023-02-03 22:39:36
PAY-0000286,ORD-0000286,debit_card,captured,613.51,USD,2025-08-18 19:50:57
PAY-0000287,ORD-0000287,credit_card,captured,1318.08,USD,2024-07-30 17:25:43
PAY-0000288,ORD-0000288,credit_card,captured,1609.49,USD,2023-10-16 23:31:35
PAY-0000289,ORD-0000289,pix,captured,157.78,USD,2026-01-27 00:54:57
PAY-0000290,ORD-0000290,boleto,captured,450.08,USD,2025-04-12 00:05:04
PAY-0000291,ORD-0000291,credit_card,captured,1301.66,USD,2025-02-19 01:22:46
PAY-0000292,ORD-0000292,paypal,captured,95.39,USD,2024-12-01 21:48:24
PAY-0000293,ORD-0000293,crypto,chargeback,1563.81,USD,2025-12-27 13:25:24
PAY-0000294,ORD-0000294,debit_card,captured,121.86,USD,2022-12-30 08:47:11
PAY-0000295,ORD-0000295,credit_card,captured,2262.14,USD,2025-07-24 10:41:23
PAY-0000296,ORD-0000296,apple_pay,captured,40.37,USD,2023-12-19 16:47:15
PAY-0000297,ORD-0000297,apple_pay,captured,811.47,USD,2024-12-28 21:13:52
PAY-0000298,ORD-0000298,credit_card,refunded,370.03,USD,2025-10-06 06:48:48
PAY-0000299,ORD-0000299,credit_card,captured,248.02,USD,2023-09-01 07:01:37
PAY-0000300,ORD-0000300,debit_card,captured,1328.13,USD,2023-11-25 22:35:47
PAY-0000301,ORD-0000301,credit_card,captured,4074.80,USD,2025-03-20 13:23:15
PAY-0000302,ORD-0000302,debit_card,captured,919.71,USD,2025-12-07 09:11:09
PAY-0000303,ORD-0000303,apple_pay,captured,962.38,USD,2024-11-27 22:36:27
PAY-0000304,ORD-0000304,credit_card,captured,916.01,USD,2025-05-01 04:44:56
PAY-0000305,ORD-0000305,debit_card,captured,522.43,USD,2023-05-19 23:32:35
PAY-0000306,ORD-0000306,credit_card,captured,112.67,USD,2023-07-22 14:58:50
PAY-0000307,ORD-0000307,paypal,captured,861.40,USD,2025-11-26 05:31:31
PAY-0000308,ORD-0000308,debit_card,captured,2990.94,USD,2023-02-18 17:48:04
PAY-0000309,ORD-0000309,credit_card,captured,459.80,USD,2025-08-14 01:47:51
PAY-0000310,ORD-0000310,google_pay,captured,593.17,USD,2025-05-27 01:32:37
PAY-0000311,ORD-0000311,pix,captured,2260.96,USD,2024-11-29 03:23:54
PAY-0000312,ORD-0000312,debit_card,captured,49.52,USD,2025-05-09 06:50:01
PAY-0000313,ORD-0000313,credit_card,captured,1114.01,USD,2025-12-03 18:12:07
PAY-0000314,ORD-0000314,credit_card,captured,2120.59,USD,2025-11-01 14:09:36
PAY-0000315,ORD-0000315,apple_pay,captured,5183.01,USD,2024-12-01 14:33:58
PAY-0000316,ORD-0000316,debit_card,captured,204.35,USD,2024-06-23 22:39:07
PAY-0000317,ORD-0000317,boleto,captured,90.01,USD,2025-05-05 05:05:17
PAY-0000318,ORD-0000318,credit_card,captured,1591.29,USD,2025-12-01 12:47:01
