return_id,order_id,return_date,reason,refund_amount,category_primary,ship_region,processed
RET-0000107,ORD-0000601,2024-01-21,not_as_described,2632.47,Beauty & Personal Care,Europe,true
RET-0000108,ORD-0000607,2025-02-24,damaged,450.43,Beauty & Personal Care,North America,true
RET-0000109,ORD-0000615,2023-08-05,defective,2548.62,Electronics,Europe,false
RET-0000110,ORD-0000618,2022-03-17,wrong_item,2111.88,Automotive Parts,North America,true
RET-0000111,ORD-0000630,2022-08-14,quality_issue,661.78,Fashion,North America,true
RET-0000112,ORD-0000637,2026-01-01,size_mismatch,1146.02,Fashion,Europe,false
RET-0000113,ORD-0000645,2025-12-29,not_as_described,548.92,Home & Kitchen,North America,true
RET-0000114,ORD-0000647,2022-12-28,wrong_item,442.00,Books,LATAM,true
RET-0000115,ORD-0000648,2023-12-09,defective,2722.56,Electronics,APAC,true
RET-0000116,ORD-0000654,2025-07-02,changed_mind,252.10,Fashion,Europe,true
RET-0000117,ORD-0000666,2024-02-27,quality_issue,334.88,Fashion,North America,false
RET-0000118,ORD-0000672,2025-03-23,changed_mind,1104.16,Toys & Games,Europe,true
RET-0000119,ORD-0000687,2022-12-12,wrong_item,951.00,Health & Wellness,LATAM,false
RET-0000120,ORD-0000696,2022-05-17,not_as_described,1047.14,Automotive Parts,North America,true
RET-0000121,ORD-0000711,2025-08-23,arrived_late,1135.61,Automotive Parts,LATAM,true
RET-0000122,ORD-0000713,2025-03-01,damaged,81.52,Books,Europe,true
RET-0000123,ORD-0000714,2025-06-11,quality_issue,1203.33,Automotive Parts,LATAM,true
RET-0000124,ORD-0000716,2023-02-08,quality_issue,769.47,Health & Wellness,Europe,true
RET-0000125,ORD-0000720,2022-12-30,size_mismatch,670.89,Fashion,APAC,false
RET-0000126,ORD-0000721,2025-12-25,quality_issue,296.13,Electronics,Europe,true
RET-0000127,ORD-0000724,2024-01-14,changed_mind,474.32,Sports & Outdoors,Europe,true
RET-0000128,ORD-0000737,2024-11-25,not_as_described,2369.52,Automotive Parts,Europe,true
RET-0000129,ORD-0000738,2025-03-23,quality_issue,941.50,Home & Kitchen,Europe,true
RET-0000130,ORD-0000753,2023-08-15,damaged,459.77,Toys & Games,Europe,false
RET-0000131,ORD-0000757,2023-01-16,changed_mind,1495.79,Fashion,LATAM,true
RET-0000132,ORD-0000770,2025-04-16,quality_issue,289.87,Toys & Games,LATAM,true
RET-0000133,ORD-0000771,2024-10-02,damaged,2484.72,Automotive Parts,LATAM,true
RET-0000134,ORD-0000778,2025-08-04,quality_issue,648.99,Sports & Outdoors,North America,true
RET-0000135,ORD-0000788,2025-01-17,changed_mind,2173.90,Sports & Outdoors,LATAM,true
RET-0000136,ORD-0000796,2025-07-24,wrong_item,509.19,Home & Kitchen,LATAM,true
RET-0000137,ORD-0000799,2024-08-26,not_as_described,839.86,Toys & Games,Europe,true
RET-0000138,ORD-0000804,2026-03-23,damaged,996.64,Home & Kitchen,LATAM,true
RET-0000139,ORD-0000817,2022-12-30,defective,1787.51,Electronics,North America,true
RET-0000140,ORD-0000837,2026-01-07,quality_issue,2409.36,Electronics,LATAM,true
RET-0000141,ORD-0000844,2025-07-10,changed_mind,205.59,Fashion,APAC,true
RET-0000142,ORD-0000854,2025-12-16,color_different,668.73,Fashion,APAC,true
RET-0000143,ORD-0000856,2023-02-15,not_as_described,803.45,Automotive Parts,Europe,true
RET-0000144,ORD-0000858,2025-11-20,damaged,2235.16,Books,North America,true
RET-0000145,ORD-0000860,2023-12-11,quality_issue,752.75,Fashion,North America,true
RET-0000146,ORD-0000870,2025-02-23,wrong_item,357.45,Home & Kitchen,Europe,true
RET-0000147,ORD-0000872,2022-04-05,not_as_described,2230.29,Automotive Parts,LATAM,true
RET-0000148,ORD-0000877,2024-12-22,quality_issue,718.78,Sports & Outdoors,North America,true
RET-0000149,ORD-0000879,2024-12-25,defective,459.52,Electronics,LATAM,true
RET-0000150,ORD-0000903,2022-11-13,changed_mind,108.32,Fashion,Europe,true
RET-0000151,ORD-0000904,2022-05-10,quality_issue,870.09,Automotive Parts,North America,true
RET-0000152,ORD-0000915,2024-07-02,not_as_described,227.97,Health & Wellness,North America,false
RET-0000153,ORD-0000919,2024-01-20,size_mismatch,3386.23,Fashion,APAC,true
RET-0000154,ORD-0000925,2026-06-02,not_as_described,2007.53,Automotive Parts,LATAM,true
RET-0000155,ORD-0000939,2022-09-02,color_different,148.95,Fashion,Europe,true
RET-0000156,ORD-0000946,2025-01-29,arrived_late,368.81,Sports & Outdoors,Europe,true
RET-0000157,ORD-0000947,2024-12-20,quality_issue,1532.76,Sports & Outdoors,APAC,true
RET-0000158,ORD-0000958,2023-05-30,wrong_item,78.05,Books,APAC,true
RET-0000159,ORD-0000960,2025-03-02,changed_mind,204.00,Sports & Outdoors,LATAM,true
RET-0000160,ORD-0000962,2023-10-26,size_mismatch,334.49,Fashion,North America,true
RET-0000161,ORD-0000971,2026-05-10,quality_issue,873.05,Beauty & Personal Care,Europe,true
RET-0000162,ORD-0000973,2026-05-01,damaged,2942.25,Sports & Outdoors,LATAM,true
RET-0000163,ORD-0000974,2023-09-11,quality_issue,282.39,Sports & Outdoors,Europe,true
RET-0000164,ORD-0000979,2022-12-15,damaged,1263.98,Books,LATAM,true
RET-0000165,ORD-0000982,2024-12-26,quality_issue,635.99,Beauty & Personal Care,LATAM,false
RET-0000166,ORD-0000995,2024-12-25,defective,3815.20,Electronics,North America,true
RET-0000167,ORD-0001009,2025-09-29,quality_issue,838.01,Automotive Parts,APAC,true
RET-0000168,ORD-0001014,2025-01-12,damaged,275.44,Sports & Outdoors,North America,true
RET-0000169,ORD-0001022,2025-03-02,quality_issue,405.88,Health & Wellness,LATAM,false
RET-0000170,ORD-0001023,2024-03-01,quality_issue,976.99,Toys & Games,LATAM,true
RET-0000171,ORD-0001025,2022-08-16,wrong_item,1940.14,Sports & Outdoors,North America,true
RET-0000172,ORD-0001030,2025-05-09,arrived_late,220.83,Toys & Games,APAC,true
RET-0000173,ORD-0001031,2023-01-30,quality_issue,98.68,Beauty & Personal Care,North America,true
RET-0000174,ORD-0001032,2024-12-05,wrong_item,1101.59,Sports & Outdoors,LATAM,false
RET-0000175,ORD-0001033,2024-01-04,changed_mind,559.19,Home & Kitchen,Europe,true
RET-0000176,ORD-0001035,2025-02-06,size_mismatch,329.83,Fashion,North America,true
RET-0000177,ORD-0001037,2026-01-13,color_different,366.14,Fashion,Europe,true
RET-0000178,ORD-0001040,2026-04-12,changed_mind,542.34,Automotive Parts,Europe,false
RET-0000179,ORD-0001043,2024-09-26,changed_mind,2364.56,Automotive Parts,Europe,true
RET-0000180,ORD-0001053,2024-09-30,wrong_item,267.37,Health & Wellness,North America,true
RET-0000181,ORD-0001056,2025-01-20,changed_mind,103.12,Books,APAC,false
RET-0000182,ORD-0001062,2024-06-13,damaged,148.97,Books,LATAM,true
RET-0000183,ORD-0001072,2025-12-21,not_as_described,1740.95,Sports & Outdoors,Europe,true
RET-0000184,ORD-0001076,2026-01-14,arrived_late,2969.84,Automotive Parts,North America,true
RET-0000185,ORD-0001077,2025-09-03,arrived_late,2565.53,Electronics,Europe,true
RET-0000186,ORD-0001085,2026-01-16,defective,1770.36,Electronics,Europe,false
RET-0000187,ORD-0001091,2023-06-17,changed_mind,994.20,Sports & Outdoors,Europe,false
RET-0000188,ORD-0001101,2022-05-15,quality_issue,237.49,Beauty & Personal Care,Europe,true
RET-0000189,ORD-0001105,2025-06-23,arrived_late,3180.56,Electronics,North America,true
RET-0000190,ORD-0001113,2024-05-08,wrong_item,2744.74,Beauty & Personal Care,LATAM,true
RET-0000191,ORD-0001116,2025-03-27,damaged,1267.32,Toys & Games,LATAM,true
RET-0000192,ORD-0001119,2025-08-23,quality_issue,543.17,Automotive Parts,North America,true
RET-0000193,ORD-0001122,2024-12-23,wrong_item,799.48,Home & Kitchen,Europe,true
RET-0000194,ORD-0001130,2023-11-12,quality_issue,1659.66,Home & Kitchen,North America,true
RET-0000195,ORD-0001152,2024-04-24,wrong_item,377.70,Books,North America,true
RET-0000196,ORD-0001165,2026-01-24,defective,2438.13,Electronics,APAC,true
RET-0000197,ORD-0001177,2024-09-27,damaged,1413.55,Automotive Parts,Europe,true
RET-0000198,ORD-0001185,2024-12-10,quality_issue,439.49,Toys & Games,North America,true
RET-0000199,ORD-0001186,2026-03-24,color_different,283.77,Fashion,APAC,true
RET-0000200,ORD-0001191,2026-01-11,color_different,410.51,Fashion,North America,true
RET-0000201,ORD-0001196,2024-12-17,damaged,2864.95,Sports & Outdoors,LATAM,true
RET-0000202,ORD-0001206,2025-07-15,quality_issue,1557.10,Automotive Parts,North America,true
RET-0000203,ORD-0001208,2026-01-01,defective,2507.38,Electronics,North America,true
RET-0000204,ORD-0001212,2022-10-17,damaged,109.84,Sports & Outdoors,Europe,true
RET-0000205,ORD-0001213,2025-08-20,changed_mind,590.66,Toys & Games,LATAM,false
RET-0000206,ORD-0001215,2025-06-17,changed_mind,79.32,Fashion,LATAM,true
RET-0000207,ORD-0001224,2023-12-21,damaged,1508.33,Books,North America,true
RET-0000208,ORD-0001225,2024-08-31,arrived_late,3652.04,Electronics,LATAM,true
RET-0000209,ORD-0001232,2024-02-15,changed_mind,1167.84,Health & Wellness,North America,true
RET-0000210,ORD-0001235,2023-07-31,changed_mind,199.38,Health & Wellness,Europe,true
RET-0000211,ORD-0001239,2025-02-27,damaged,223.53,Health & Wellness,Europe,true
RET-0000212,ORD-0001240,2024-12-23,damaged,1309.00,Automotive Parts,Europe,true
RET-0000213,ORD-0001245,2024-12-20,wrong_item,850.25,Health & Wellness,Europe,true
RET-0000214,ORD-0001249,2024-02-17,color_different,330.30,Fashion,LATAM,true
RET-0000215,ORD-0001250,2025-12-08,wrong_item,54.50,Sports & Outdoors,LATAM,true
RET-0000216,ORD-0001256,2023-01-21,wrong_item,2520.24,Home & Kitchen,APAC,false
RET-0000217,ORD-0001257,2025-08-12,changed_mind,220.34,Fashion,North America,true
RET-0000218,ORD-0001259,2024-10-26,arrived_late,1360.37,Sports & Outdoors,Europe,false
RET-0000219,ORD-0001263,2024-09-06,not_as_described,41.07,Health & Wellness,APAC,true
RET-0000220,ORD-0001278,2023-03-29,defective,2233.92,Electronics,North America,true
RET-0000221,ORD-0001280,2022-12-07,changed_mind,663.89,Fashion,North America,true
RET-0000222,ORD-0001282,2024-02-09,not_as_described,133.16,Toys & Games,Europe,true
RET-0000223,ORD-0001287,2024-04-03,not_as_described,337.25,Home & Kitchen,Europe,true
RET-0000224,ORD-0001291,2023-04-05,wrong_item,3392.35,Automotive Parts,North America,false
RET-0000225,ORD-0001297,2025-07-03,damaged,627.24,Health & Wellness,APAC,false
RET-0000226,ORD-0001307,2025-01-02,arrived_late,1131.61,Electronics,APAC,true
RET-0000227,ORD-0001318,2022-12-16,wrong_item,1095.56,Books,Europe,true
RET-0000228,ORD-0001324,2024-01-14,wrong_item,259.56,Books,Europe,true
RET-0000229,ORD-0001325,2024-05-29,damaged,467.33,Home & Kitchen,LATAM,true
RET-0000230,ORD-0001333,2023-02-17,not_as_described,128.93,Home & Kitchen,LATAM,true
RET-0000231,ORD-0001335,2024-12-17,quality_issue,3914.94,Fashion,Europe,true
RET-0000232,ORD-0001338,2025-07-12,changed_mind,158.90,Home & Kitchen,LATAM,false
RET-0000233,ORD-0001350,2025-12-09,not_as_described,1015.17,Electronics,LATAM,true
RET-0000234,ORD-0001358,2026-05-03,damaged,349.50,Beauty & Personal Care,LATAM,false
RET-0000235,ORD-0001360,2024-04-06,arrived_late,578.95,Toys & Games,LATAM,true
RET-0000236,ORD-0001366,2024-12-27,arrived_late,513.93,Automotive Parts,LATAM,true
RET-0000237,ORD-0001368,2026-01-10,wrong_item,296.36,Books,Europe,true
RET-0000238,ORD-0001378,2025-07-01,changed_mind,27.24,Books,North America,true
RET-0000239,ORD-0001381,2022-08-30,not_as_described,456.82,Home & Kitchen,North America,true
RET-0000240,ORD-0001389,2025-12-08,quality_issue,38.11,Beauty & Personal Care,Europe,true
RET-0000241,ORD-0001394,2024-05-14,not_as_described,1412.30,Electronics,North America,false
RET-0000242,ORD-0001396,2024-05-17,wrong_item,772.13,Beauty & Personal Care,APAC,false
RET-0000243,ORD-0001397,2025-03-22,quality_issue,307.99,Fashion,Europe,true
RET-0000244,ORD-0001398,2025-08-20,damaged,1051.81,Health & Wellness,LATAM,true
RET-0000245,ORD-0001400,2025-12-19,quality_issue,2073.10,Automotive Parts,APAC,true
RET-0000246,ORD-0001401,2024-12-19,changed_mind,490.03,Health & Wellness,North America,true
RET-0000247,ORD-0001415,2025-06-11,size_mismatch,332.96,Fashion,LATAM,true
RET-0000248,ORD-0001432,2024-02-24,size_mismatch,744.10,Fashion,North America,true
RET-0000249,ORD-0001444,2025-08-16,quality_issue,5473.73,Electronics,LATAM,true
RET-0000250,ORD-0001447,2023-12-30,changed_mind,849.59,Sports & Outdoors,Europe,false
RET-0000251,ORD-0001466,2025-07-02,wrong_item,1386.08,Books,North America,true
RET-0000252,ORD-0001467,2023-09-13,defective,1393.72,Electronics,LATAM,true
RET-0000253,ORD-0001482,2022-05-30,wrong_item,890.35,Beauty & Personal Care,LATAM,true
RET-0000254,ORD-0001484,2026-01-29,changed_mind,723.66,Health & Wellness,LATAM,true
RET-0000255,ORD-0001489,2024-10-29,changed_mind,1535.70,Automotive Parts,LATAM,true
RET-0000256,ORD-0001490,2024-11-17,wrong_item,673.25,Health & Wellness,North America,false
RET-0000257,ORD-0001493,2024-12-17,quality_issue,1067.02,Beauty & Personal Care,North America,true
RET-0000258,ORD-0001511,2025-12-20,not_as_described,1990.68,Sports & Outdoors,Europe,false
RET-0000259,ORD-0001524,2022-11-10,defective,2772.47,Electronics,Europe,true
RET-0000260,ORD-0001533,2022-08-03,changed_mind,755.14,Automotive Parts,LATAM,true
RET-0000261,ORD-0001539,2026-04-13,changed_mind,902.87,Toys & Games,North America,true
RET-0000262,ORD-0001542,2025-12-19,color_different,1249.77,Fashion,Europe,true
RET-0000263,ORD-0001550,2026-01-25,size_mismatch,513.15,Fashion,LATAM,true
RET-0000264,ORD-0001552,2022-03-04,changed_mind,549.04,Fashion,Europe,true
RET-0000265,ORD-0001556,2025-06-19,wrong_item,447.21,Books,North America,false
RET-0000266,ORD-0001558,2025-07-28,changed_mind,1253.79,Sports & Outdoors,North America,true
RET-0000267,ORD-0001563,2025-08-07,size_mismatch,392.76,Fashion,Europe,true
RET-0000268,ORD-0001571,2022-12-30,changed_mind,86.40,Health & Wellness,North America,true
RET-0000269,ORD-0001572,2026-01-18,damaged,471.38,Books,Europe,true
RET-0000270,ORD-0001573,2024-01-01,changed_mind,2329.58,Automotive Parts,North America,true
RET-0000271,ORD-0001583,2023-12-03,changed_mind,3297.68,Books,Europe,true
RET-0000272,ORD-0001589,2025-05-02,wrong_item,993.26,Books,LATAM,true
RET-0000273,ORD-0001596,2024-12-31,damaged,886.96,Books,North America,false
RET-0000274,ORD-0001598,2024-12-28,damaged,1721.58,Automotive Parts,North America,true
RET-0000275,ORD-0001599,2026-04-20,wrong_item,748.12,Books,Europe,true
RET-0000276,ORD-0001608,2024-07-28,arrived_late,2355.88,Home & Kitchen,Europe,true
RET-0000277,ORD-0001620,2025-12-17,quality_issue,118.61,Fashion,Europe,true
RET-0000278,ORD-0001627,2023-04-29,wrong_item,2855.11,Automotive Parts,North America,true
RET-0000279,ORD-0001629,2024-01-14,wrong_item,240.07,Sports & Outdoors,APAC,false
RET-0000280,ORD-0001642,2023-08-14,arrived_late,1119.05,Automotive Parts,Europe,true
RET-0000281,ORD-0001646,2025-03-04,wrong_item,1352.14,Health & Wellness,North America,true
RET-0000282,ORD-0001647,2024-12-07,changed_mind,401.98,Toys & Games,APAC,true
RET-0000283,ORD-0001648,2025-12-23,quality_issue,1555.48,Electronics,Europe,false
RET-0000284,ORD-0001651,2023-06-16,quality_issue,356.14,Home & Kitchen,Europe,true
RET-0000285,ORD-0001663,2024-01-08,wrong_item,857.60,Home & Kitchen,North America,true
RET-0000286,ORD-0001676,2025-07-02,arrived_late,1731.78,Toys & Games,LATAM,true
RET-0000287,ORD-0001686,2025-04-13,damaged,783.85,Books,Europe,true
RET-0000288,ORD-0001688,2025-12-15,size_mismatch,292.71,Fashion,Europe,false
RET-0000289,ORD-0001694,2025-12-08,not_as_described,3000.45,Electronics,LATAM,true
RET-0000290,ORD-0001697,2024-08-23,changed_mind,1408.40,Home & Kitchen,Europe,true
RET-0000291,ORD-0001698,2025-11-26,wrong_item,1503.57,Books,North America,true
RET-0000292,ORD-0001702,2022-04-03,size_mismatch,243.32,Fashion,LATAM,false
RET-0000293,ORD-0001706,2024-04-04,damaged,3301.56,Health & Wellness,APAC,true
RET-0000294,ORD-0001708,2023-02-18,size_mismatch,284.59,Fashion,Europe,true
RET-0000295,ORD-0001715,2025-01-01,size_mismatch,737.34,Fashion,North America,true
RET-0000296,ORD-0001718,2026-05-17,size_mismatch,154.32,Fashion,Europe,true
RET-0000297,ORD-0001721,2025-12-30,not_as_described,3549.96,Beauty & Personal Care,North America,false
RET-0000298,ORD-0001732,2026-01-16,not_as_described,269.75,Toys & Games,Europe,true
RET-0000299,ORD-0001733,2023-01-17,not_as_described,561.84,Health & Wellness,North America,true
RET-0000300,ORD-0001735,2024-09-02,changed_mind,895.56,Sports & Outdoors,Europe,true
RET-0000301,ORD-0001740,2024-12-03,wrong_item,219.34,Home & Kitchen,North America,true
RET-0000302,ORD-0001750,2024-12-03,wrong_item,2539.97,Automotive Parts,LATAM,true
RET-0000303,ORD-0001757,2025-12-25,arrived_late,1524.07,Toys & Games,APAC,true
RET-0000304,ORD-0001775,2025-03-22,damaged,13.40,Books,APAC,true
RET-0000305,ORD-0001777,2025-03-06,not_as_described,1703.59,Toys & Games,North America,true
RET-0000306,ORD-0001781,2024-03-03,defective,635.31,Electronics,Europe,true
RET-0000307,ORD-0001783,2025-10-30,changed_mind,4974.15,Health & Wellness,Europe,false
RET-0000308,ORD-0001790,2025-01-02,defective,1971.82,Electronics,North America,true
RET-0000309,ORD-0001793,2023-09-29,quality_issue,1887.75,Electronics,Europe,false
RET-0000310,ORD-0001795,2025-12-23,changed_mind,105.12,Fashion,Europe,true
